"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"3556",-3.09162414441474,1.24117164390159,-3.48682417809715,NA,NA,NA,1.22325354795014,0.0959100563333331,1.87298377304232,-0.572473653565475,NA,3.6004038968875,-1.17252756210486,NA,9,-58.2478064552669,135.579950259931,7.723678100301,0.000188064115127189
"3496",-3.06910602441624,1.25135460999961,-3.46302143769825,0.0508609453381832,NA,NA,1.23858458622609,NA,1.86016160077051,-0.545219963637635,NA,3.57421050409202,-1.17603918575683,NA,9,-58.2489051703195,135.582147690037,7.72587553040627,0.000187857599724604
"8108",-1.73191646847975,1.15172246297954,-5.14520966135092,NA,-2.16453216975403,NA,1.6208475205715,NA,2.31145260658973,-1.80265419621437,2.3584233865899,3.40705257383552,-1.76835634725391,0.086487062377813,11,-55.9867733951719,135.583302887905,7.72703072827439,0.000187749124705792
"5715",-2.55197806314307,NA,-3.62874001494285,NA,NA,-0.440395941354266,NA,-0.0371902955667485,NA,NA,1.71038617338109,3.85902540280121,NA,0.00776906797896819,7,-60.4591185234829,135.584903713632,7.72863155400198,0.000187598908016916
"3751",-2.95388008210484,NA,-3.70782198183475,-0.206432979857802,NA,NA,0.880025276786424,NA,1.32792595511465,NA,1.53847058950753,3.85899709262336,-1.40362145765704,NA,8,-59.3634564014106,135.589188251923,7.73291609229251,0.000187197450832789
"3367",-2.23949385425006,NA,-2.32606113157495,0.107414109878736,NA,NA,0.869997303165759,NA,NA,-0.349677289312994,NA,3.66015993521151,-1.30412551873064,NA,7,-60.4618469926778,135.590360652022,7.73408849239193,0.000187087747834898
"2148",0.590814328576952,1.10108440846637,-3.7112159963398,NA,NA,NA,0.863328267659884,-1.12773141912119,NA,NA,NA,NA,-1.32007204109008,NA,6,-61.5506056149546,135.598252650027,7.7419804903971,0.000186350954417636
"7843",-3.09613611896004,NA,-3.69342946517159,NA,NA,NA,0.881833667113174,NA,1.31563375616119,NA,1.4996600531289,3.86117014225855,-1.40776502673183,0.102858906146847,8,-59.3683949547852,135.599065358672,7.74279319904183,0.00018627524528524
"3175",-2.53261131038098,NA,-2.52638063352549,0.0863814482384847,NA,NA,0.767451329267603,0.355672561797405,NA,NA,NA,3.84330202564329,-1.32267665779892,NA,7,-60.467569862864,135.601806392395,7.7455342327642,0.000186020126782792
"3458",-3.88025859458735,0.578865633511245,NA,NA,NA,NA,NA,NA,1.27531183835472,-0.913152242419139,NA,4.46502792024101,-1.31215914733035,NA,6,-61.5526124483121,135.602266316743,7.74599415711218,0.000185977354108269
"7344",-2.40319590623712,1.49985285348056,-3.96309489497385,0.109262164514153,-1.59676685622939,NA,1.46061483097892,NA,2.36092860179023,NA,NA,3.34199334176625,-1.69188662786101,0.073272032905214,10,-57.135125635762,135.603584604857,7.747312445227,0.000185854808632494
