"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1388",0.0022220458137785,0.454725304877429,-3.52669879205343,NA,-1.72482850459495,NA,-0.147908682806897,4.60796553942445,NA,-0.4029767543102,NA,0.10912761571049,NA,8,-100.096219193789,217.054713836679,25.1914701854394,6.20283817110108e-08
"1240",0.0634126642359826,0.165264073898891,-3.66274402022335,0.298580452656651,NA,-1.7977020176699,NA,3.40536702086426,0.535674633287467,NA,NA,0.132594207762015,NA,8,-100.102030280743,217.066336010587,25.2030923593474,6.16689746754321e-08
"473",-0.833525979835744,NA,NA,NA,-0.388339613565548,-1.45471055539342,NA,3.69284822914199,1.30021646742221,-2.64989487803601,NA,NA,NA,6,-102.286898430856,217.070838281831,25.2075946305916,6.15303055897809e-08
"2264",0.140539805076938,0.158912498737047,-3.64234252038458,0.289415543374305,NA,-1.80233249933698,NA,3.42078945191544,0.565829203530782,NA,NA,NA,-0.0702641416519614,8,-100.10705780659,217.076391062281,25.2131474110415,6.13597103798246e-08
"2304",0.563736735589342,0.462221085141744,-3.8738169102071,0.764785605549376,-1.56374420229306,-1.36435164287578,-0.412520355295079,3.84868814809508,0.598969744324458,NA,NA,NA,-0.147825601258881,10,-97.8812000280227,217.095733389379,25.2324897381394,6.07691508871252e-08
"1532",0.507836556719116,0.52183303119592,-3.3733841209032,NA,-1.21881429323128,-1.43056457836456,-0.0877728712062755,4.01427104878614,0.934639013086378,-0.95492652689809,NA,-0.032602797230126,NA,10,-97.881509304328,217.096351941989,25.2331082907499,6.07503593347067e-08
"466",-0.962940403865023,0.244206380306271,NA,NA,NA,-1.55573513663071,NA,3.73506176999041,1.47376706313047,-3.03370616549593,NA,NA,NA,6,-102.302458926073,217.101959272265,25.2387156210254,6.05802742124117e-08
"497",-0.676540518225489,NA,NA,NA,NA,-1.50053216361251,-0.52134086190076,3.5179968552436,1.48672650317567,-2.5871662978418,NA,NA,NA,6,-102.313599593562,217.124240607243,25.2609969560032,5.99091150432935e-08
"3180",0.177043516814675,0.408101541190452,-3.72809090092651,NA,-1.83347363703023,NA,-0.284205433598173,4.56435955364636,NA,NA,NA,0.108492466019236,-0.166595623533924,8,-100.132963054712,217.128201558526,25.2649579072867,5.97905839129818e-08
"338",-0.556240028364989,0.169553888399357,NA,NA,NA,-1.55988691827855,NA,3.5613801406318,NA,-2.29636429494902,NA,NA,NA,5,-103.388914279329,217.130769735129,25.2675260838892,5.97138567963928e-08
"3284",0.234164632019474,0.163469985893486,-3.63604061956308,NA,NA,-1.79603889963584,NA,3.44049874759189,0.529631028728836,NA,NA,0.152193540186769,-0.100656740639966,8,-100.134929294676,217.132134038453,25.2688903872134,5.9673136779921e-08
"1280",0.557579840459317,0.458396220490311,-3.88117039574893,0.780158887875455,-1.55614392086796,-1.36250193193219,-0.432689831111308,3.82718715988334,0.603289222171171,NA,NA,-0.079680337746404,NA,10,-97.9036242591813,217.140581851696,25.2773382004565,5.94216145994099e-08
"2539",-0.235714684118475,NA,-3.20388977880872,NA,-1.52894475843404,NA,-0.211076782466827,4.50024578974595,0.862091583376062,-0.561307657531681,NA,NA,-0.154133435324165,8,-100.149230982852,217.160737414805,25.2974937635659,5.88257839163693e-08
"1144",0.401605293626145,0.266484388384019,-3.37884512559083,0.338326173300091,NA,-1.70915810339544,-0.527934613518368,3.31356996136521,NA,NA,NA,0.230594391085923,NA,8,-100.14981251144,217.161900471982,25.2986568207426,5.87915849860836e-08
"2385",-0.48813004822363,NA,NA,NA,NA,-1.56041779093129,NA,3.51111643304319,NA,-2.13279144996118,NA,NA,-0.178888991838773,5,-103.408440486752,217.169822149976,25.3065784987361,5.85591815437298e-08
"369",-0.378769078900658,NA,NA,NA,NA,-1.52923035313137,-0.308898945061814,3.41800089997933,NA,-2.01096198724207,NA,NA,NA,5,-103.408704247244,217.170349670959,25.3071060197201,5.85437379819864e-08
"3287",0.0705288636779333,NA,-3.51971404265585,0.281575807028136,NA,-1.78416553273313,NA,3.36579326796127,0.582377779868464,NA,NA,0.121891143889137,-0.0829164763344935,8,-100.154168350303,217.170612149707,25.3073684984678,5.85360552426204e-08
"1361",-0.66047598247137,NA,NA,NA,NA,-1.5476936309773,NA,3.48099320188006,NA,-2.17701997357484,NA,0.239795929666858,NA,5,-103.409391172112,217.171723520694,25.3084798694547,5.85035366417714e-08
"3531",-0.346542336344828,NA,-3.23514486405641,NA,-1.5499960397951,NA,NA,4.5526658978848,0.817991353844605,-0.620648129784171,NA,0.0383155093204695,-0.165675934000416,8,-100.165308053808,217.192891556718,25.3296479054783,5.78875994511998e-08
"3296",0.459171554686256,0.426521162440255,-3.9708425711419,0.707099736822001,-1.61975220425436,-1.39704560889782,NA,3.92817821723788,0.482311986033004,NA,NA,-0.0407032970646449,-0.160213961287116,10,-97.9419561376306,217.217245608594,25.3540019573551,5.71869750691649e-08
"1515",-0.269190713800017,NA,-3.21489994460458,NA,-1.50662799553528,NA,-0.22739962147706,4.47240389808543,0.855427389053585,-0.567955540964308,NA,-0.0100086318050596,NA,8,-100.17837763892,217.219030726941,25.3557870757018,5.71359550825364e-08
"3424",0.419714014676252,0.557429564046588,-3.5187934544743,0.776001857089681,-1.51159896217156,-1.37021047582544,NA,3.97621856885021,NA,-0.537978608130961,NA,0.0977044616349817,-0.130541286543876,10,-97.9429388298553,217.219210993044,25.3559673418044,5.71308054766424e-08
"2513",-0.87537161392516,NA,NA,NA,NA,-1.55217354483106,NA,3.65983062311756,1.44290408286274,-2.7819077938794,NA,NA,-0.218252720473632,6,-102.36372384881,217.224489117739,25.3612454664999,5.69802324921514e-08
"2432",0.442489189622632,0.550466974275678,-3.52760614336761,0.769000475777127,-1.52817883909382,-1.37658455563862,0.0571808590257395,3.99420307719786,NA,-0.541203759180085,NA,NA,-0.121576208415893,10,-97.9472444128644,217.227822159062,25.3645785078228,5.68853528388189e-08
"2168",0.510180572187755,0.256580750923237,-3.35184306254069,0.330701144519881,NA,-1.7132333530543,-0.518614622707698,3.33078790924565,NA,NA,NA,NA,-0.0178601057584059,8,-100.184161958548,217.230599366198,25.367355714959,5.68064164532513e-08
