"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nearest_LM)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"2869",-5.06538584223871,NA,NA,0.472409350596749,NA,-0.307096986947129,3.7155404222623,NA,NA,-0.0949344941331551,0.723299068649073,NA,-0.703496012224021,7,-90.7200421324839,196.114783060149,14.104426922922,3.07705717065889e-05
"2104",-6.89729604438528,-0.313465029570805,1.36402872786144,0.563842979919429,NA,-0.4376086081407,0.0139169260346072,NA,NA,NA,NA,NA,-0.927269401398902,7,-90.7204680062503,196.115634807681,14.1052786704548,3.07574701173306e-05
"2674",-4.26578575858738,-0.26647967601002,NA,NA,NA,-0.0421223763273561,3.39853609359658,-0.833954117384115,NA,NA,0.590705143984501,NA,-0.671656730435418,7,-90.7214432961684,196.117585387518,14.107229250291,3.07274872901704e-05
"993",-5.21131267363093,NA,NA,NA,NA,NA,3.54024140830014,-0.705106860917509,0.879893664576191,-0.150184774486789,0.622849549429638,NA,NA,6,-91.8080637023769,196.11912141673,14.1087652795033,3.07038971910506e-05
"1495",-8.28897405538305,NA,1.19502245019776,0.424156334069949,NA,-0.0966414887210396,NA,-0.960342602778882,0.462343944637658,-0.0983231748955425,NA,0.358258972791829,NA,8,-89.6250172754318,196.122761823591,14.1124056863643,3.06480606843705e-05
"593",2.10343123641892,NA,NA,NA,NA,-0.243419070070304,NA,-0.744502004776044,NA,NA,0.605456879307645,NA,NA,4,-93.945892787456,196.128471965445,14.1181158282181,3.05606830913128e-05
"2292",-6.90293993148842,-0.20358838524717,1.16087688977597,NA,NA,0.00811073465843702,0.755738970918232,-1.0768634620822,0.255637004717203,NA,NA,NA,-0.791274186469606,8,-89.6298242340131,196.132375740753,14.1220196035268,3.05010902494634e-05
"1843",-7.49471031670694,NA,0.810999231386743,NA,NA,-0.0364865126684339,1.16794612404677,NA,NA,-0.145526818025047,0.626862827825914,0.74983792919099,NA,7,-90.7291379932981,196.132974781777,14.1226186445503,3.04919559153325e-05
"1756",-6.88415315050172,-0.24333474386017,1.01016378350578,NA,0.138027931139456,-0.0118676280304746,NA,-0.855101825652136,0.295672748418441,NA,0.524873302244973,0.746856178285594,NA,9,-88.5208951524535,196.139351280517,14.1289951432903,3.03948947658876e-05
"952",-6.04290919236947,-0.129497031524551,0.916061144972308,0.49139160929659,NA,-0.16909902707274,1.06427703611493,NA,1.11798435748309,-0.163610693064554,0.624140326890382,NA,NA,9,-88.5229954076927,196.143551790995,14.1331956537686,3.03311247190411e-05
"2929",-4.67022707850622,NA,NA,NA,NA,-0.0132526733912339,3.59218562154427,-0.811413493579647,NA,-0.0586503060221496,0.588529842149499,NA,-0.647438794187574,7,-90.7370750793611,196.148848953903,14.1384928166765,3.02508965569441e-05
"837",1.07816293694404,NA,NA,0.343957641943507,NA,NA,NA,-0.765957393780969,NA,-0.0707781534188628,0.656584478969777,NA,NA,5,-92.8976148701026,196.152372597348,14.1420164601215,3.01976467923351e-05
"1699",-6.942879511024,NA,0.909995134951992,NA,NA,NA,0.749071112887106,NA,0.152170931440233,NA,0.69896539007026,0.637156571145015,NA,6,-91.8248390960242,196.152672204024,14.1423160667979,3.01931234228548e-05
"2620",-4.36335463514126,-0.320594345421564,0.999254823248782,NA,0.0492949287607878,-0.145629516567764,0.80329999372022,NA,NA,NA,0.59217789721445,NA,-0.777900535628433,8,-89.6405414091269,196.153810090981,14.1434539537545,3.01759501279755e-05
"578",1.70485240586935,-0.372411845712189,NA,NA,NA,NA,NA,-0.811008190167354,NA,NA,0.62882853200461,NA,NA,4,-93.9629189469888,196.16252428451,14.1521681472837,3.00447566122766e-05
"2231",-6.74883443139543,NA,1.3634421136641,0.579096782952536,NA,-0.568082655980098,-0.068383454406207,NA,0.470829065705292,NA,NA,NA,-0.922434882945624,7,-90.7481341228551,196.170967040891,14.1606109036644,2.99181936549788e-05
"2709",2.23562524597519,NA,NA,0.493749089796458,NA,-0.662322298313261,NA,NA,1.09441212582211,NA,0.789283677317835,NA,-0.70067416333434,6,-91.8362904600033,196.175574931983,14.1652187947562,2.98493431103754e-05
"1480",-8.57421501089386,-0.0699962515641073,1.2170406962829,0.415416708597078,NA,NA,NA,-0.994596635211086,0.411715832724198,-0.103225033280689,NA,0.366124569659137,NA,8,-89.6526313526317,196.177989977991,14.1676338407641,2.98133210949993e-05
"2111",-7.137112026387,NA,1.41134765681184,0.570003890077237,0.0935936451308979,-0.542678154501878,0.0109866025170043,NA,NA,NA,NA,NA,-0.872481780930504,7,-90.7533126043769,196.181324003935,14.170967866708,2.97636633035875e-05
"571",-4.18799189679578,NA,0.921664881183768,NA,0.109247046659706,-0.297065763500126,0.730411301966522,NA,NA,NA,0.584470748358646,NA,NA,6,-91.8392373731824,196.181468758341,14.1711126211144,2.97615091708376e-05
"1606",-2.05426221619852,-0.411874368264875,NA,0.31158235126222,NA,NA,NA,-0.801315779890397,NA,NA,0.700864332219711,0.827296029126975,NA,6,-91.8398728148736,196.182739641723,14.1723835044967,2.9742603474489e-05
"1787",-8.09940238031569,NA,0.953205355949464,NA,0.136942724268053,-0.0466512260448335,0.849627169265416,-0.878740427112149,0.275960842472619,NA,0.521029443796603,0.731625625952808,NA,9,-88.5429282914315,196.183417558473,14.1730614212463,2.97325236783648e-05
"4006",-10.0470466806226,-0.359347780207519,NA,0.45204756238531,NA,NA,4.03109153847689,NA,1.22847553117941,-0.205742435709341,0.833592487222037,0.972096003359791,-0.885680106217393,9,-88.5432282378412,196.184017451292,14.1736613140657,2.97236068519877e-05
"3629",-8.42434064755281,NA,NA,0.424673596273047,-0.120870014442811,NA,3.33280487016814,NA,NA,NA,0.873949074581646,1.03241543342374,-0.954044035135577,7,-90.7588583253146,196.19241544581,14.1820593085833,2.95990591789602e-05
"2004",-6.51636716429165,-0.117316985214188,0.940991529213872,NA,NA,0.118037156497045,NA,-0.773821102946479,0.532414145026863,-0.105034942941959,0.538579848025903,0.738919945058164,NA,9,-88.5498666400155,196.197294255641,14.1869381184142,2.95269430844458e-05
