"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_W)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"9509",-1.23619187313861,NA,NA,0.0964528365988042,NA,NA,-0.095545278106897,NA,NA,-1.11489016050353,NA,0.0248043736204997,NA,NA,-0.427269100307726,6,-63.2754008047612,139.053795621498,14.1465369748209,4.41280176797709e-06
"13759",118.714043124739,NA,1.51086551669309,0.290936312508172,-23.2503531239102,-8.42707874596006,0.0766765166908558,NA,-0.917364926338174,-0.992318755235546,NA,0.108051885022163,NA,-0.963670199133882,-0.590669395783755,11,-57.712224492088,139.054078613806,14.1468199671281,4.41217741767287e-06
"10710",-47.2532386263788,0.851121402355565,NA,0.167352375128602,NA,10.1986195753897,NA,0.00974956016806814,1.72869746621106,-0.868154312119516,NA,NA,0.513342913071452,NA,-0.440590281137876,9,-59.9783127224103,139.05418642043,14.1469277737527,4.41193959310546e-06
"4453",1.38936969254276,NA,NA,0.093426113390492,NA,NA,-0.0810949323353234,-0.0895327388095427,NA,-1.00728882304118,NA,NA,NA,-0.684010650262013,NA,6,-63.2763043122903,139.055602636557,14.1483439898791,4.40881656895505e-06
"6630",-1.40865201916212,0.900008551917047,NA,0.13567155857864,NA,NA,-0.0904729881403124,-0.0460774343914967,2.07092750855967,-0.839191397711263,NA,NA,0.506559455573385,-0.684254763756135,NA,9,-59.9799141375418,139.057389250693,14.1501306040159,4.40487990053945e-06
"764",243.353760584427,0.961631267971869,1.45188921573007,NA,-36.4462457151237,-26.6648131132376,0.0736341010192526,-0.248192411367919,-0.815053237479911,NA,-1.27411141337097,NA,NA,NA,NA,9,-59.9801606565974,139.057882288805,14.150623642127,4.40379414754139e-06
"6798",153.431103798362,0.683738925843095,NA,0.131459198201245,-41.6703112226034,NA,NA,NA,2.49218179903661,NA,-0.940418484448197,NA,0.664575194344735,-0.686866244160867,NA,8,-61.09276162352,139.058250519767,14.1509918730898,4.40298341549837e-06
"4162",2.47030674933985,0.601035834448812,NA,NA,NA,NA,NA,-0.719349064830917,NA,NA,NA,NA,NA,-0.715465558297255,NA,4,-65.4108493889053,139.058385168343,14.1511265216656,4.40268699775346e-06
"8562",-127.555285195037,0.871160294810447,NA,NA,NA,29.5306294010715,-0.085196183737361,-0.113521825432351,NA,-1.18194706860094,NA,NA,NA,NA,-0.379951347303787,7,-62.1919155526043,139.058529900389,14.1512712537118,4.40236840433233e-06
"15604",69.9867650850144,0.952522442920316,1.37064578870408,NA,NA,-16.9634122205901,-0.0366823713729854,0.0479601135716744,-0.650594668037654,NA,NA,-0.0724383950297939,0.514256064265094,-0.735649257863886,-0.497679290445191,11,-57.714909148414,139.059447926458,14.15218927978,4.40034812355684e-06
"2745",132.938488781762,NA,NA,NA,-28.6824770066652,-6.89244588255564,-0.0252526459583446,NA,2.11111754770954,NA,-0.828605636183147,NA,0.632553993507225,NA,NA,7,-62.1925968804587,139.059892556098,14.1526339094205,4.39936996968786e-06
"12988",224.889864362526,0.872716271533961,1.62426854865172,NA,-44.8162058482554,-14.4861900958736,0.059003560064486,NA,-0.663161406341205,NA,-1.30658042696383,NA,NA,-0.978449950429073,-0.49198021351526,10,-58.8562390501409,139.062171351816,14.154912705138,4.39436019157182e-06
"11573",-49.8073078757178,NA,NA,0.168349170982812,NA,11.5970732662288,-0.0380207028031542,NA,NA,-0.763708822416739,NA,0.0697996109045076,0.528963400535707,NA,-0.435046410497241,8,-61.0949831894603,139.062693651648,14.1554350049703,4.39321275460922e-06
"13815",-6.19839781821583,NA,1.5442812743321,0.297731562228769,NA,0.416377565444126,0.0119941990621522,0.232811347307846,-0.996046344197833,-1.09279333553238,NA,0.0698554712748015,NA,-0.950343811659965,-0.60378201300128,11,-57.7166841162533,139.062997862136,14.1557392154587,4.39254457472843e-06
"3737",141.093653182883,NA,NA,NA,-31.0301891667855,-6.76142229110023,NA,NA,2.10792916610187,NA,-0.88242183685299,0.0112669619596936,0.637367010126596,NA,NA,7,-62.1942414998948,139.06318179497,14.1559231482928,4.39214062671735e-06
"15381",-78.6547901155843,NA,NA,0.205013686101676,NA,18.8385867350694,NA,NA,NA,NA,NA,-0.0291595879923553,0.655428286212935,-0.538035212681582,-0.334108608164337,7,-62.1948508335371,139.064400462255,14.1571418155774,4.38946516287956e-06
"11718",-3.95364257284534,0.89760298061529,NA,0.160814461841926,NA,NA,NA,0.0277343015744103,1.97115260792848,-0.832400444695629,NA,-0.0379125416526825,0.522434584145046,NA,-0.428392721728248,9,-59.9834867396739,139.064534454958,14.15727580828,4.38917109458037e-06
"5807",91.6912341472845,NA,1.55895358084592,0.274236736492346,-25.3627968722187,NA,0.11677484809228,NA,-1.39776755407893,NA,-1.08078242787572,0.0196895152509272,NA,-1.14151811042408,NA,9,-59.983605871763,139.064772719136,14.1575140724583,4.38864823460361e-06
"6998",-112.820983959195,0.879182705358994,NA,0.18049653329164,NA,26.8484604845582,NA,0.0367780474625051,NA,-0.868920129047481,-0.758825649834263,NA,0.473539029848099,-0.688408829417444,NA,9,-59.984152215011,139.065865405632,14.1586067589543,4.38625118113944e-06
"7415",29.2109866262782,NA,1.35263032099414,0.289722167934013,NA,-7.2412720635497,0.0541362791867582,0.0580465429653733,-1.27177257517152,NA,NA,-0.00154626447158827,0.492533433322895,-0.931995512667875,NA,10,-58.8588666954966,139.067426642527,14.1601679958494,4.38282852861832e-06
"763",192.10098940588,NA,1.39394100647012,NA,-28.4824552892943,-21.5826613780287,0.080657943446691,-0.0435775500575957,-0.930130752598741,NA,-1.17878832121916,NA,NA,NA,NA,8,-61.0975010245593,139.067729321846,14.1604706751684,4.38216528303024e-06
"1723",198.762400752583,NA,1.41928069703102,NA,-30.1625177569977,-21.7154410459398,0.0790669827162589,NA,-0.947717447156011,NA,-1.29468744677278,0.0167447568496873,NA,NA,NA,8,-61.0978232781378,139.068373829003,14.1611151823253,4.38075334210005e-06
"2777",137.988030269866,NA,NA,NA,-30.3242842930206,-6.6651893239657,NA,0.0061306384383485,2.13121744322677,NA,-0.843003267493,NA,0.634696757417824,NA,NA,7,-62.1970381294241,139.068775054029,14.1615164073514,4.37987459630985e-06
"6969",21.2245894257447,NA,NA,NA,-19.7430337222869,12.84714772669,-0.0133096754789902,NA,NA,-0.643834986599818,-0.594867520644043,NA,0.462840276168548,-0.668754462516167,NA,8,-61.098259080435,139.069245433597,14.1619867869198,4.37884461567384e-06
"13496",-19.1650025821345,0.982840072692166,1.67399201892867,0.354245423547125,NA,3.52045597295636,0.0309274983812835,NA,-1.20839535109699,NA,NA,-0.14110292715344,NA,-1.08410762500887,-0.464727253349624,10,-58.8598342565184,139.06936176457,14.1621031178929,4.3785899254534e-06
"7825",-46.5565504476576,NA,NA,NA,NA,10.6498525416625,NA,NA,1.82951584101473,NA,-0.65905120923674,-0.0176246467101294,0.611166495755439,-0.557791292674911,NA,7,-62.1974732348048,139.06964526479,14.1623866181128,4.37796930383757e-06
"10605",58.5954528125404,NA,NA,0.121438725846757,-15.7806069363685,NA,-0.0474884684198886,0.190226939206331,NA,-0.756811602722401,NA,NA,0.557948144648824,NA,-0.423715367804308,8,-61.0997212367701,139.072169746267,14.1649110995899,4.37244673876672e-06
"13201",-120.967905835191,NA,NA,NA,NA,27.8287585982366,NA,NA,1.90404238595311,-0.973329808133605,-0.752223974470548,NA,NA,-0.732254929580127,-0.283723794490197,7,-62.2018534630998,139.07840572138,14.1711470747028,4.35883473629898e-06
"11625",76.09238788065,NA,NA,NA,-20.4007561215129,NA,-0.0595571915578112,0.152797826343796,NA,-0.815686462931298,NA,0.0582370433884517,0.554880632295284,NA,-0.4228359933488,8,-61.1030157181784,139.078758709084,14.1715000624065,4.35806549665199e-06
"14389",-76.9525441374388,NA,NA,0.195752940803033,NA,18.4619134898578,-0.0479322680963579,NA,NA,NA,NA,NA,0.668729014768479,-0.530894072932005,-0.34220266261933,7,-62.2020986386084,139.078896072398,14.17163742572,4.35776618777188e-06
"9215",190.178898647106,NA,1.52447597299356,0.196212860112595,-28.9517287583882,-21.2818265298916,0.0284717916034855,0.498504527403724,-0.396623277689438,-1.08418175186898,-1.26132408297648,NA,NA,NA,-0.645640480778733,11,-57.7254743498151,139.08057832926,14.1733196825822,4.35410228785657e-06
"3753",97.4866260946889,NA,NA,NA,-27.0390021839719,NA,-0.0242086727987685,NA,1.98407768473478,NA,-0.865361589640976,0.0113832173803468,0.627695207781653,NA,NA,7,-62.2029785865177,139.080655968216,14.1733973215385,4.35393326715861e-06
"4799",93.3011057935803,NA,1.54910458338141,0.274560596191269,-24.5288774879827,-1.12163677613575,0.114859262851569,NA,-1.35319613469405,NA,-1.00150190008539,NA,NA,-1.12633202594893,NA,9,-59.9917428675835,139.081046710777,14.1737880640992,4.35308271673096e-06
