"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"4022",-3.01059324121288,0.140795338561224,NA,0.429974381421909,NA,0.665657051028158,-0.433012528539719,NA,1.47667994336724,-1.9822914107809,-0.600349622686684,1.03961250441099,1.96731392636051,NA,NA,10,-76.3709176209429,174.091528493419,15.2079052980826,3.08167357169388e-06
"5766",-2.60529490969793,0.0155820552254054,NA,0.295318957488548,NA,NA,NA,NA,2.39578061718012,NA,-0.533369940912623,-0.0623618214727772,NA,-0.230809307205733,NA,7,-79.7089956339049,174.092690062991,15.2090668676537,3.07988430220989e-06
"1126",-1.04861404665257,0.00193976354760107,NA,0.330778848506499,NA,NA,-0.44220572593329,-0.151441635217639,NA,NA,NA,0.316635084574011,NA,NA,NA,6,-80.7953806213999,174.093755254776,15.2101320594389,3.07824440522088e-06
"12008",-4.73301294675833,0.0425105851758489,2.73007013926997,0.808514287228612,NA,NA,-0.26223444335039,0.053578586047941,0.601405728544093,NA,-0.522518343527381,0.870477774011582,2.17843300093182,NA,-0.869631602447991,11,-75.2329050483879,174.095439726405,15.2118165310686,3.07565288902299e-06
"12237",-2.86684108603723,NA,NA,0.359171260177132,-0.479607594164563,NA,NA,0.0621361829715229,2.03943086725853,-2.11628957482383,-0.692487271837629,1.04241137744299,2.12015401506897,NA,-0.596135881047147,10,-76.3735618205743,174.096816892682,15.2131936973455,3.07353577529201e-06
"14685",-2.72825632698768,NA,NA,0.544819123501789,0.149933241622748,0.957296216611847,NA,0.0913011152966301,NA,-1.78265215193974,NA,NA,1.99205604651418,-0.0762441831081438,-0.478508027348598,9,-77.5004691210642,174.098499217738,15.2148760224013,3.07095151921168e-06
"16239",-3.32615838800931,NA,3.08636922933609,0.689523587513472,-0.281808629010919,NA,-0.246695842367573,0.145503328418275,NA,-2.44083780181077,-0.984057219340135,1.54993906365962,1.44881646991177,-0.284612068440886,-0.837543548474545,12,-74.0803558744266,174.098599947611,15.214976752274,3.07079685482873e-06
"11101",-2.73799432158833,NA,NA,0.532804396036607,0.148673249339172,0.946669792068456,NA,0.0948537957651861,NA,-1.7871977685411,-0.0648673655554705,NA,1.99326668405097,NA,-0.484201289038301,9,-77.501123433716,174.099807843042,15.2161846477048,3.06894281401199e-06
"10182",-1.59942658275362,0.117865548677167,NA,0.347350857697319,NA,NA,NA,0.0259087492421274,2.13044657402677,-2.80182292242986,-0.779275876313263,0.786128323062954,NA,NA,-0.557636787069941,9,-77.5015501914647,174.100661358539,15.2170381632023,3.06763339830715e-06
"14214",-1.51068554248054,0.136820039314758,NA,0.378439463936734,NA,NA,NA,NA,2.11088644079928,-2.72534282257048,-0.723655799133167,0.823074160760498,NA,-0.156033870396366,-0.532570833448561,9,-77.5017874310709,174.101135837752,15.2175126424147,3.06690572048829e-06
"13008",-3.51173983367601,0.203315442347757,3.028846508703,0.769133250955301,-0.169058097283082,NA,NA,0.046064069011057,0.829467801004394,NA,-0.416570338683462,NA,NA,-0.396104540881594,-0.725489907044915,10,-76.3759501898528,174.101593631239,15.2179704359024,3.06620379609226e-06
"12536",-3.69307911400773,0.188380306499645,2.92230927920357,0.858108271675536,NA,0.346779871389205,-0.0671689386198416,0.0281365406691626,0.667084092640759,NA,NA,NA,NA,-0.528038808239144,-0.705474681789571,10,-76.3762717320563,174.102236715646,15.2186135203094,3.06521804065683e-06
"1198",-2.52832065952328,0.0401277600417454,NA,0.179523811988552,-0.341879606536354,NA,-0.219531486739367,NA,2.35966923019252,NA,NA,-0.206025044747927,NA,NA,NA,7,-79.714174200846,174.103047196873,15.2194240015359,3.06397614146929e-06
