"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1979",-0.69228019260598,NA,0.00365144550383019,NA,0.00346008103353467,0.10163309206962,-0.48376172663477,NA,3.26938926901218e-05,0.059798708681598,-0.000583315994372874,-0.142725882885952,9,-175.743726681513,370.585014338635,10.3158653320289,0.000173999580485573
"832",-0.679185141163656,0.26184268421448,0.00365247522629831,0.0122522010733269,-0.0045566142127797,0.0913197583989204,-0.502140240187366,NA,NA,0.10558329437466,-0.00388804818993478,NA,9,-175.746046844815,370.589654665241,10.3205056586347,0.000173596341015817
"1968",-0.101193421815159,0.241598039819802,0.00387312738749877,0.0143251834358092,-0.00350415645906889,NA,-0.492713151666921,NA,1.80708592700799e-05,0.0714407123031701,-0.00157531471154138,-0.154596777316679,10,-174.624941338319,370.599575928171,10.3304269215648,0.000172737325934515
"955",-0.692653156691383,NA,0.0035969438605614,NA,0.00239799951333213,0.0951767651851159,-0.483708089717103,NA,-0.00066816724229769,0.0728544723951899,-0.00218749134041553,NA,8,-176.866656965593,370.606041203913,10.3368921973066,0.000172179830289233
"752",0.0701909144803193,0.277000360025677,0.00380607306510631,0.0118921666104633,-0.00364635581201846,NA,-0.495834708473987,-0.137156477652894,-0.000416723856631059,NA,-0.00298464822978457,NA,9,-175.782726720487,370.663014416584,10.3938654099785,0.000167344213400964
"1791",-0.604925689756017,NA,0.00384310022753911,0.0133531686194024,0.00514431358724378,0.099921001333478,-0.500087046082894,-0.116042128328173,0.000989575773944667,NA,-0.00153701530995921,-0.161423371898752,10,-174.656964880603,370.663623012739,10.3944740061328,0.000167293298625633
"880",0.0676780428241914,0.266673758056934,0.00380974813346722,0.0120506108658768,-0.00349337518347892,NA,-0.495536873973364,-0.145002059793068,NA,0.0559807966211511,-0.00299170545655858,NA,9,-175.783723812926,370.665008601462,10.3958595948558,0.000167177438909737
"1003",0.0969554553195738,NA,0.0038057719013773,NA,0.00281862145479024,NA,-0.481127066548213,-0.158502455669922,0.000154856387482208,0.0187181729479151,-0.00144232948643821,NA,8,-176.906409622504,370.685546517736,10.4163975111303,0.000165469485249233
"1000",0.0554980940299229,0.252338009280188,0.00383549040475623,0.0119258182909828,NA,NA,-0.502254480801008,-0.149324190877371,-0.000433139840273104,0.0663532751700764,-0.00300422263556073,NA,9,-175.798642312233,370.694845600076,10.42569659347,0.00016470191387536
"1535",-0.6792849103469,NA,0.00378858433953815,0.0131064583247018,0.00526507839170722,0.098766431027248,-0.496904192435888,-0.117566276965033,0.000996246098537532,0.0911707103538492,NA,-0.165422024365136,10,-174.673111937424,370.695917126382,10.4267681197765,0.000164613696292614
