"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6445",0.516877571459275,NA,NA,0.203191607507259,-0.674358919945483,NA,0.44662616966976,NA,NA,-3.80223411079632,NA,NA,-1.73614193633743,0.148340168111807,7,-62.5977482230397,139.862163112746,13.4789769515719,1.62383069232722e-05
"188",-3.7971252778717,5.45099866954027,0.531494089873407,NA,-0.698456524036064,0.327084537383348,0.0238830576153676,NA,-1.80066967278395,NA,NA,NA,NA,NA,7,-62.6012348027676,139.869136272202,13.4859501110276,1.61817893552962e-05
"1678",-3.0144428709292,4.7491324229166,NA,0.185022438420979,-0.581457257834469,NA,NA,NA,-1.50052274507751,NA,-1.23124429836179,0.126927718414554,NA,NA,7,-62.6018578882953,139.870382443257,13.487196282083,1.61717098570572e-05
"7971",0.584405473891242,NA,0.823753287704492,NA,NA,NA,0.626684230627772,NA,NA,-4.48511173658641,-1.42777225214394,0.165732285697495,-1.38608262261888,0.233384765945042,8,-61.5042359642899,139.870747377682,13.4875612165075,1.6168759319439e-05
"6487",1.17917195586297,NA,0.885720692936534,0.0390639225921091,NA,-0.950310874553377,NA,-0.463767646543606,NA,-4.23488233318048,NA,NA,-1.80477800049879,0.177553628021578,8,-61.5052844240222,139.872844297146,13.4896581359721,1.61518159101645e-05
"6344",-2.22988907510425,4.76720508270471,0.765817454507327,0.276008645739737,NA,NA,NA,-1.55994620511885,-1.71933457804762,NA,NA,NA,-1.39049109352829,0.110861197595246,8,-61.5083304603737,139.878936369849,13.495750208675,1.61026917467363e-05
"6505",0.648929067597097,NA,NA,NA,-0.65297950637453,NA,0.45524285861213,-0.0884649287239797,NA,-3.74026045314844,NA,NA,-1.73790683498454,0.144692103550632,7,-62.6064629905593,139.879592647785,13.4964064866111,1.60974086929194e-05
"5389",-0.195011373290713,NA,NA,0.21214440747533,-0.492440960671374,NA,NA,NA,NA,-3.99572691328384,NA,0.206823167378783,NA,-0.010661240908524,6,-63.6915812745287,139.880203969176,13.4970178080015,1.60924890996883e-05
"6196",-3.59612535768297,4.2319111221329,0.455801931064417,NA,NA,0.0228578196857299,0.0696728159282409,NA,NA,NA,NA,NA,-1.42348069842289,0.0182171420190885,7,-62.6076676085863,139.882001883839,13.498815722665,1.60780291390438e-05
"2104",-3.60915081112097,4.23436166137345,0.455673868294827,0.0261533284825099,NA,0.0253080399514579,0.0709789950301013,NA,NA,NA,NA,NA,-1.41695049710602,NA,7,-62.6076830732813,139.882032813229,13.4988466520551,1.60777804991491e-05
"6184",-3.59159079134341,4.21858172868488,0.456122450714534,0.0251539669788866,NA,NA,0.0698747244788728,NA,NA,NA,NA,NA,-1.42706819519448,0.0200574607705275,7,-62.6077529564993,139.882172579665,13.498986418491,1.60766569713682e-05
"6951",0.517259685084182,NA,0.860554482970244,0.0981675935948608,NA,NA,0.636782995404706,NA,NA,-4.43090124153566,-1.33399272490767,NA,-1.37620185523627,0.240699137750471,8,-61.5102312656167,139.882737980335,13.4995518191611,1.60721127374147e-05
"2264",-2.28982366303377,4.82788484739274,0.763746864572276,0.275746156427724,NA,0.10169921841889,NA,-1.55962821951129,-1.71248730532603,NA,NA,NA,-1.34085447944381,NA,8,-61.510657700839,139.88359085078,13.5004046896056,1.60652604835723e-05
"176",-3.76357566480883,5.31430229695333,0.545738255573914,0.400915756945226,-0.671068296843376,NA,0.0439287672442913,NA,-1.91105817555435,NA,NA,NA,NA,NA,7,-62.6085592906035,139.883785247874,13.5005990866994,1.60636990394843e-05
"6168",-3.58409881536441,4.22951267866334,0.457357543058015,0.0303333451944708,NA,0.0265051439182641,NA,NA,NA,NA,NA,NA,-1.42526806380639,0.0229525869897615,7,-62.6087872087866,139.88424108424,13.5010549230656,1.60600382475814e-05
"3158",-2.63783417277461,3.68574363367585,NA,0.114728131641058,NA,0.0679475778789985,NA,-0.865875475125411,NA,NA,NA,-0.159612011599235,-1.39832105397566,NA,7,-62.6094144910844,139.885495648835,13.5023094876613,1.60499672289022e-05
"5449",-0.0284957737692992,NA,NA,NA,-0.470018274802112,NA,NA,-0.190783383682695,NA,-3.90909243176587,NA,0.274226602378809,NA,-0.0144047595898173,6,-63.6946286561105,139.886298732339,13.5031125711652,1.60435237906836e-05
"7238",-2.58728382508642,3.64600743928451,NA,0.109959674969917,NA,NA,NA,-0.863175312136241,NA,NA,NA,-0.16046880307317,-1.42169210529111,0.034630491340677,7,-62.6109003162004,139.888467299068,13.5052811378933,1.60261374922768e-05
"2413",0.584156946447535,NA,NA,0.190369042240986,-0.668529178660608,NA,0.480046981565739,-0.0773598168829042,NA,-3.75779498983133,NA,NA,-1.70942404770454,NA,7,-62.6109207170977,139.888508100862,13.5053219396879,1.60258105480269e-05
"5419",-0.0604511871635735,NA,0.963734278271378,NA,-0.603032951415341,NA,0.635617328037923,NA,NA,-4.40860959166477,NA,-0.537407031284293,NA,-0.0300304514186991,7,-62.6115513535818,139.88976937383,13.5065832126561,1.60157072732895e-05
"7250",-2.57363826948671,3.68025747770134,NA,NA,NA,0.0570974686379558,NA,-0.866664806651652,NA,NA,NA,-0.148395094279221,-1.41261150320592,0.0250900588446755,7,-62.6125597230169,139.8917861127,13.5085999515262,1.59995656633151e-05
"4268",-3.48160860808409,5.27599250562699,0.533000194311004,NA,-0.656710777919637,NA,0.0737218508947829,NA,-1.81932618734116,NA,NA,NA,NA,-0.249332334037046,7,-62.6125945632142,139.891855793095,13.5086696319209,1.59990082450007e-05
"3939",0.720471290688845,NA,0.853340997295668,NA,NA,NA,0.697942926789987,-0.350612183379279,NA,-4.35239507651935,-1.28731573991577,0.224993392814928,-1.36997858539029,NA,8,-61.5150602544869,139.892395958076,13.5092097969014,1.59946877764802e-05
"1359",0.119837389199717,NA,0.993815038658329,0.387074935005493,-0.574762640053653,NA,NA,-0.536676485551204,NA,-4.13371974971079,NA,-0.345822190678282,NA,NA,7,-62.6136542941388,139.893975254944,13.5107890937701,1.59820625817078e-05
"3415",1.21819086578658,NA,0.917184723672103,0.0276179088339347,NA,-0.95050116038687,NA,-0.367915059772928,NA,-4.20702625717175,NA,-0.156490997806509,-1.75354376662097,NA,8,-61.5174073594044,139.897090167911,13.5139040067364,1.59571905882775e-05
"3104",-3.09923974104572,4.24057429522529,0.942861387273669,0.439839145021512,-0.886073944675668,0.170981441553681,NA,NA,NA,NA,NA,-1.15053564578272,-1.41025014765099,NA,8,-61.5176343271339,139.89754410337,13.5143579421955,1.59535692319406e-05
"2415",0.899389878872984,NA,0.946669472453717,0.270693024029946,-0.881053076744895,NA,0.680430728225426,-0.721952469172479,NA,-4.18392139206729,NA,NA,-1.71333032269781,NA,8,-61.5188226051679,139.899920659438,13.5167344982634,1.59346232148567e-05
