"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_SP)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"12726",-143.060969009172,0.366043654884703,NA,0.134536762800251,NA,32.4147471080767,-0.285811272735198,NA,2.26499650261889,-0.633378143874799,NA,NA,NA,-0.255170881785975,-0.330837915994276,9,-76.466873980014,172.031308935638,13.4120136976837,5.98175919414368e-06
"4841",39.4160433607171,NA,NA,NA,-12.0063841305643,NA,-0.252440344306642,-0.0629562452828351,2.85595932526727,NA,-0.387391287734882,NA,NA,-0.192125305377712,NA,7,-78.6792954127204,172.033289620621,13.4139943826673,5.97583813625944e-06
"9702",-5.26699470401574,0.0817110525904189,NA,0.0951718172507579,NA,NA,-0.318644797984617,0.0519989434941362,2.34286779340634,-0.817756529928197,NA,0.113214145444698,NA,NA,-0.427142125678624,9,-76.4679272958736,172.033415567357,13.4141203294028,5.97546182945584e-06
"1390",17.6704335255591,0.0433860148972146,NA,0.064103829888992,-4.97547878365476,NA,-0.326584112193927,-0.0438902573550923,NA,-0.794208818811149,NA,0.129373952687589,NA,NA,NA,8,-77.5804205481591,172.033568369045,13.4142731310913,5.97500531656641e-06
"350",-231.910845923898,0.190577855137944,NA,0.106083940872262,6.94891439855474,47.6605478379835,NA,0.0884500388773807,NA,-0.703058729066623,NA,NA,NA,NA,NA,7,-78.6794595958806,172.033617986942,13.4143227489878,5.97485708480752e-06
"1997",81.2017233600097,NA,NA,0.0167981112694029,-23.6460566105927,NA,NA,0.0889490992067619,3.00183791504968,-0.803320815458963,-1.06530742344062,0.162912073534172,NA,NA,NA,8,-77.580619960732,172.033967194191,13.4146719562371,5.97381394417434e-06
"3520",-58.8892595789623,0.215307685317857,0.688906808321283,0.159774380254043,4.11286421223992,9.11159353153323,-0.240218860082722,NA,0.227752067663897,-0.550124631979404,NA,0.169669760439631,0.268956194012505,NA,NA,11,-74.2028397708677,172.035309171365,13.4160139334109,5.96980692767918e-06
"13801",45.2744367368443,NA,NA,NA,-13.439757267256,NA,-0.312538399913335,0.0939256487400763,2.43799198342506,-0.818923943040604,NA,0.125114388943198,NA,-0.140909381760566,-0.404746029791672,9,-76.4690061962683,172.035573368146,13.4162781301923,5.96901837787551e-06
"742",-5.86512693662477,0.128323586703692,NA,0.0816206015475678,NA,NA,-0.259450596422072,-0.13396980550998,2.72436476690789,NA,-0.39848209812469,NA,NA,NA,NA,7,-78.680490356107,172.035679507395,13.4163842694405,5.96870161271915e-06
"6012",-31.2549777882058,0.171614902060049,0.872945166819042,NA,-10.1916874799497,15.160894712839,-0.204079469739354,0.302531078727783,NA,-0.853135487267665,-1.0246306000016,0.195249516131332,NA,-0.366513097043315,NA,11,-74.2030451940115,172.035720017653,13.4164247796986,5.96858071712231e-06
"15607",-30.690757462992,NA,0.802316778204195,0.217783926574993,NA,6.07445076503619,-0.271378358724889,0.144504260177578,0.429276876899361,NA,NA,0.123991684645705,0.382003588530887,-0.142945790133399,-0.537013101496222,11,-74.2030579295279,172.035745488685,13.4164502507312,5.9685047046492e-06
"15554",-5.75651373667549,0.0404016032869747,NA,NA,NA,NA,NA,-0.0393864480417391,2.928835347748,NA,NA,0.0692111199462101,0.433355189438999,0.0573613835207222,-0.277306858416656,8,-77.5815184884722,172.035764249672,13.4164690117176,5.96844871739411e-06
