"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"10547",-3.58685009530957,NA,3.47447125898121,NA,NA,-0.557725859930342,0.337260669956375,NA,NA,-2.31242598258555,NA,NA,2.55379856307981,NA,-1.07279285599303,7,-58.0495238524711,130.773746500123,6.05951168822256,0.000224577732605734
"12163",-3.02570565881073,NA,3.91081329763372,NA,NA,NA,NA,NA,-1.01068781460807,-3.11891159881121,-1.73901508222116,1.80236741997078,2.29868369812246,NA,-1.13703877353366,8,-56.9515134864082,130.775754245544,6.06151943364324,0.000224352398271038
"2148",-5.38779974694368,0.828647375604968,3.26521593495984,NA,NA,NA,0.00475812387771238,-0.0522403862423753,NA,NA,NA,NA,3.48563386495684,NA,NA,6,-59.1365816139866,130.776157239949,6.06192242804889,0.000224307196444514
"10435",-5.27867204389915,NA,3.77426884829637,NA,NA,NA,NA,0.078312390900976,-0.671836970181944,NA,NA,NA,3.61458742907927,NA,-1.17587815815855,6,-59.1366067064882,130.776207424952,6.06197261305203,0.000224301568086449
"547",-3.54796873662662,NA,3.85603194634479,NA,NA,NA,0.434950393126209,NA,NA,NA,-1.60553089786575,NA,NA,NA,NA,4,-61.2707237097543,130.778133810041,6.06389899814087,0.000224085626501724
"15236",-2.43127092815376,1.1705116372417,3.87028440468519,NA,NA,NA,NA,NA,-0.405134769028643,-3.00603695959988,-0.995140023896201,NA,1.99783689160997,-1.44512289036269,-0.816434994994894,9,-55.8421200729219,130.781801121454,6.06756630955314,0.000223675107104667
"3356",-3.46272806828586,1.0684381391771,3.64101344705623,NA,-0.782590179814454,-0.777600301299023,NA,NA,NA,-3.13069709499476,NA,0.164153238372734,2.69835457260833,NA,NA,8,-56.9560860815911,130.78489943591,6.07066462400917,0.000223328867454842
"972",-1.90363902490995,1.09510036164775,4.07486365567192,NA,-0.760165930786289,NA,NA,0.160569055503149,-0.25712880457707,-4.32020174134418,-2.00728645018717,NA,NA,NA,NA,8,-56.956922743528,130.786572759783,6.0723379478828,0.000223142094835717
"12627",-2.18813840048644,NA,4.21313261595421,NA,NA,0.0915008296704702,NA,0.178902473594277,NA,-3.97326936987119,NA,NA,NA,-1.54531190701436,-0.974960395419491,7,-58.0564187302052,130.787536255591,6.07330144369072,0.000223034622488611
"2456",-4.20387166764659,1.03693193738405,3.82225404353004,0.878620564199987,NA,-0.424446069956705,NA,NA,-0.613701363947936,-3.04309881324585,NA,NA,2.62443345992804,NA,NA,8,-56.9580225478682,130.788772368464,6.07453755656337,0.000222896817094801
"9108",-1.6151385259817,1.16330885838351,4.14021538633501,NA,NA,-0.339981334425328,NA,NA,-0.418775117056709,-3.69311287062493,-1.43887003443194,NA,NA,NA,-0.936383376494272,8,-56.9585138751778,130.789755023083,6.07552021118244,0.000222787328700876
"6480",-3.61501429389846,1.09606428765564,4.00903098041095,0.847114589222427,-0.758821532553028,NA,NA,0.100575520629526,NA,-3.44598777940683,NA,NA,2.40654355505242,-1.9912712270331,NA,9,-55.8476905435776,130.792942062765,6.07870725086448,0.000222432595384616
"15124",-2.56329796912202,1.16919992829626,3.80685758029178,NA,NA,-0.225425297380084,NA,NA,NA,-2.99444491663204,-1.02575418419665,NA,2.07850929310726,-1.35138123459728,-0.839673188112573,9,-55.8477067475228,130.792974470655,6.07873965875496,0.000222428991128224
"12643",-2.18506464739601,NA,4.24344247632559,NA,NA,NA,0.0509740292428727,0.17499277423205,NA,-3.95631611343446,NA,NA,NA,-1.50919378020237,-0.980896139259533,7,-58.0591573102357,130.793013415652,6.07877860375183,0.000222424659922212
