"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1856",-1.85057815493746,0.186657074899332,-2.58923060780016,1.00914079847439,-0.739600237250577,-0.720213791850242,-0.164589252990567,NA,NA,-0.67098061316706,2.11654155485838,2.361989714153,NA,NA,10,-76.6609344916576,174.655202316648,11.8908277859535,1.85370697905653e-05
"1344",-2.36248089529695,0.424022064761304,-1.35591800660262,1.26246552489986,-0.2530005209367,-0.69890506405999,-0.0953716926379357,NA,NA,0.293373797542205,NA,2.24201998244116,NA,NA,9,-77.7862595958928,174.656856541183,11.8924820104883,1.8521743891733e-05
"4392",-1.27081840925909,0.268928233824489,-1.82214460820106,1.1485238283054,NA,NA,-0.113456337639765,NA,NA,-0.0415412437471928,NA,NA,NA,-0.00518872346042283,7,-79.9975424745427,174.661751615752,11.8973770850571,1.84764666644397e-05
"4709",-1.65535375568596,NA,NA,1.1098762305497,NA,NA,0.244666693164007,-1.03926976113151,NA,NA,0.130100923303976,NA,NA,-0.0615045346323899,6,-81.082475671419,174.661992762956,11.8976182322613,1.84742390245998e-05
"2804",-0.972961923663576,0.263417961098645,-2.66460081499406,NA,NA,-0.870560239663524,-0.365978803129327,-0.0491911688788099,1.96599076534785,NA,1.20833802236443,NA,-0.505701067401283,NA,9,-77.789319052914,174.662975455226,11.8986009245307,1.84651640083333e-05
"6352",-2.23238309276919,0.496474434078578,-2.15070986300666,1.17589284251442,-0.913678148668041,NA,NA,0.39010487435656,2.69778798874768,NA,NA,NA,-0.366515363688112,-0.146427708265898,9,-77.7895046107856,174.663346570969,11.8989720402738,1.84617379696757e-05
"4453",-1.64826406970061,NA,NA,1.11437584235708,NA,NA,0.246523898009258,-0.878842639132396,NA,-0.14737167857954,NA,NA,NA,-0.0513786328483276,6,-81.0832487948637,174.663539009846,11.8991644791508,1.84599616770733e-05
"5076",-1.19602026791223,0.210336677992505,-2.61181201021059,NA,NA,-0.831523866182936,NA,0.0108731272488262,1.90160214223467,-0.674701211833479,1.40311700222955,NA,NA,-0.147839226511565,9,-77.7896250274689,174.663587404335,11.8992128736404,1.84595150022658e-05
"7123",-1.0609682025023,NA,-2.53856110450843,NA,NA,-0.847458216539639,NA,0.0253730800983855,1.85335931010415,-0.634210537224461,1.53074711742872,NA,-0.373164686589901,-0.0945299411591313,9,-77.7902868270084,174.664911003414,11.9005364727194,1.84473025452825e-05
"7282",-2.44488916692326,0.108119883624566,NA,NA,NA,-0.753288947317519,0.0491161823128713,0.196463658269926,NA,NA,NA,2.66608644234587,-0.170988128931898,-0.226961193533039,8,-78.901539146965,174.665353743032,11.9009792123368,1.84432193214145e-05
"938",-2.46161318344435,0.00476480431981577,NA,NA,-0.586449179212135,NA,0.272289846040425,NA,2.40846329557247,-0.638297595736859,0.126832623901478,NA,NA,NA,7,-79.9995786696481,174.665824005963,11.9014494752678,1.84388832500205e-05
"7506",-2.43490253507167,0.113220555330881,NA,NA,NA,-0.756364890681935,NA,0.192279800125476,NA,0.0404140140704201,NA,2.67793561091452,-0.181316338620506,-0.227127793674778,8,-78.9021725115223,174.666620472146,11.9022459414513,1.8431541738449e-05
"358",-1.66074553168115,0.0229887592702548,NA,1.12638054216924,NA,NA,0.240480135869527,-0.902287017963413,NA,-0.154417969891287,NA,NA,NA,NA,6,-81.0847895623358,174.66662054479,11.902246014095,1.84315410689813e-05
