"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LMSPW","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"7605",-3.44632645103563,NA,NA,0.434478235381902,NA,1.91708565180391,-0.194537776825398,NA,-2.95996172009664,0.443953820493431,NA,6.10178297426157,1.24167085030828,-1.00509477919358,9,-90.1500763333747,199.397713642359,14.8494152944936,4.67857781165113e-06
"3202",-2.67794393617595,-0.151455622090771,NA,NA,NA,NA,NA,NA,-2.9240037096212,NA,NA,6.3222152001451,1.44800174102845,NA,5,-94.5248335391996,199.406809935542,14.8585115876766,4.65734727032819e-06
"2791",-2.5782948853156,NA,4.47905533211086,0.580981314304891,NA,NA,1.32946797957903,1.57433351394325,-3.77629779059228,NA,-0.941259624562815,NA,0.444005990448588,NA,8,-91.2670415052217,199.406810283171,14.8585119353053,4.65734646081464e-06
"2471",-2.23522082305055,NA,5.19646325615266,0.693797727284965,NA,NA,1.19426170302263,NA,-4.21630728602488,-0.120683141403922,NA,NA,0.363556836184584,NA,7,-92.366724544309,199.408147883799,14.8598495359333,4.65423266740837e-06
"5079",-1.97325460550142,NA,3.62392395344003,0.820334634572159,NA,1.18562029560851,NA,1.36313809191871,-3.5578610106018,0.562282995516829,-0.807366845958411,NA,NA,-0.931108923380608,9,-90.1555732894694,199.408707554549,14.8604092066832,4.65293043067921e-06
"924",-0.923311565456925,0.443956469767576,3.99032751290245,NA,-0.496234835041926,1.21096233222902,NA,NA,-3.7936997849546,0.26069455038617,-0.878853080446684,NA,NA,NA,8,-91.2682939293642,199.409315131456,14.8610167835901,4.6515171388212e-06
"4094",-4.78325533247807,0.427439892556221,NA,0.0996314702268718,-0.763283578537165,1.3721478696174,0.674076534652999,3.57531058812589,-2.62331443347535,1.1426940958828,-1.62072726670623,5.85308953620653,0.846352944258218,NA,12,-86.7373624364461,199.41261307165,14.8643147237844,4.64385324665399e-06
"2216",-2.26657457369516,0.0514830721736057,5.21961199194435,0.696424552514731,NA,NA,1.17635494756751,NA,-4.2666553091194,NA,NA,NA,0.338525411487137,NA,7,-92.3699018127584,199.414502420698,14.8662040728321,4.63946838825754e-06
"3418",-5.76062278440193,-0.127926491661413,NA,NA,-0.958075349460072,1.23981200953946,NA,2.91823786214331,NA,0.333454888778608,NA,6.95174363972387,0.766160745166687,NA,8,-91.2715792877269,199.415885848181,14.8675875003156,4.6362603138814e-06
"7729",-4.25048966188708,NA,NA,NA,NA,1.729936382653,-0.186924307579393,NA,NA,NA,-1.14006412276299,6.81916504994544,1.48255865929499,-0.849645814224747,7,-92.3732105834673,199.421119962115,14.8728216142499,4.62414281952818e-06
