"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"5448",-2.43258707544016,4.67458959876081,0.148377843358705,2.05602926241598,NA,NA,NA,0.499679108979819,NA,-4.13656815005695,NA,-1.16982849472751,NA,0.0497850272657367,8,-89.3414798940106,195.545235237123,15.5236811294292,1.88299668316337e-05
"1562",-1.41587898578237,4.01710546805544,NA,NA,-1.55550207607954,-0.807850699475057,NA,NA,NA,NA,1.20731408276386,-1.95009559522479,NA,NA,6,-91.5273861477071,195.551813715533,15.5302596078388,1.87681323165107e-05
"7020",-0.844830163920715,4.78361054540475,-0.0743683656329482,NA,-2.37283907327809,NA,0.531615640279158,0.416745012422789,NA,-4.5447161421535,0.152704384248204,NA,0.562206842104339,-0.390100208803692,10,-87.1093960523835,195.5521254381,15.5305713304067,1.87652073192635e-05
"2329",2.85010622770788,NA,NA,NA,-1.82827489431006,-1.65981442488921,NA,NA,NA,-4.40143563957239,NA,NA,-0.119008988354913,NA,5,-92.6002230016367,195.553387179744,15.5318330720504,1.87533726309726e-05
"4112",-2.95990463831078,4.84210867264179,-0.370012552491449,2.10358115067215,-2.51527819824832,NA,NA,NA,NA,NA,NA,NA,NA,-0.490256919865704,6,-91.5289637846288,195.554968989376,15.5334148816822,1.87385463621007e-05
"5512",-2.09388221138035,4.90561191421638,0.153658021641368,2.11490520565085,NA,NA,NA,NA,-0.61285271450384,-3.97928882176281,NA,-0.951423121549961,NA,0.0416676292059895,8,-89.3487890566913,195.559853562484,15.5382994547907,1.86928373023062e-05
"3944",-3.28507839438351,4.80250254103517,0.291663172620547,2.68741159205728,NA,NA,-0.99548988552857,0.352332046517144,NA,-3.82900350307296,1.62927387153718,-2.05295873070854,0.936814743633309,NA,10,-87.1141930990159,195.561719531365,15.5401654236714,1.86754053091107e-05
"7146",-0.839138115767299,4.71037779442385,NA,NA,-2.40510269734252,NA,0.5537193594651,0.375182768651309,0.142045423300883,-4.57291132392241,0.133946694853041,NA,0.548342975349751,-0.38486977489144,10,-87.1148625985752,195.563058530484,15.54150442279,1.86629063179878e-05
"6636",-0.853918611877208,4.71203066784253,-0.0672561325762651,NA,-2.40680155733107,NA,0.536006906097611,0.490486853381606,0.156317817389015,-4.57385971055749,NA,NA,0.566847007226368,-0.386466142899103,10,-87.1155470999288,195.564427533191,15.5428734254972,1.8650135904532e-05
"793",2.75707542139894,NA,NA,NA,-1.80547964257932,-1.65005301717009,NA,NA,NA,-4.42083735638205,0.0560901317868505,NA,NA,NA,5,-92.6059189913633,195.564779159197,15.5432250515036,1.8646857256352e-05
"8102",-2.87941550018918,5.15839952353467,NA,2.66257365025858,NA,NA,-1.03641839049524,NA,-0.824758111463751,-3.70626570978189,1.61038742156838,-1.58768218700744,0.99794895850742,-0.263320533430217,10,-87.115766733961,195.564866801255,15.5433126935616,1.86460401497821e-05
"3442",-0.817865853401365,3.94844317377924,NA,NA,NA,-1.16439126580416,-0.621465363955633,0.97408864339007,NA,-4.07190570295591,NA,-1.07411690306852,0.720453994201635,NA,8,-89.3516436839563,195.565562817014,15.5440087093207,1.86395523098635e-05
"6920",-3.09386584704109,4.94660372621888,-0.144687927340836,2.02951077058833,NA,NA,NA,NA,NA,-4.6298847957792,0.676533391555891,NA,0.860296149325411,-0.226985423665126,8,-89.3524415615989,195.5671585723,15.5456044646059,1.86246861592802e-05
"962",-1.17046439144039,4.83694749899387,NA,NA,NA,NA,NA,-0.261636568893177,-0.650944571772203,-4.21843217662508,0.585594382262245,NA,NA,NA,6,-91.5357817770144,195.568604974147,15.5470508664534,1.86112216384086e-05
"7464",-2.36659300512045,4.57696336665183,0.26248279732171,2.30657950626577,NA,NA,-1.07457011115826,NA,NA,-3.81480055024317,NA,-1.12274848104462,1.06972996861463,-0.229849545176763,9,-88.2425809550264,195.56949925945,15.5479451517568,1.86029016276689e-05
"5528",-1.17285301664319,4.30437254997308,0.171596742171535,2.06050382407735,NA,-1.17304500019632,NA,NA,-0.693983614311379,-4.02074079487443,NA,-0.913529265874076,NA,0.00589119555681152,9,-88.2460124318541,195.576362213106,15.5548081054121,1.85391756015285e-05
"6456",-1.55553078096446,4.08862185062914,-0.00391372000152168,2.06772421172021,NA,-0.988422074908955,-0.995211441153137,NA,NA,-4.37213767992312,NA,NA,0.743202438928469,-0.286010569732344,9,-88.2462151798187,195.576767709035,15.5552136013413,1.85354172024268e-05
"1574",-3.67081927296716,4.55050726705847,NA,2.51086707581194,NA,NA,-1.24613791703355,NA,NA,NA,2.0430486004145,-2.76481072964273,NA,NA,6,-91.5417354725493,195.580512365217,15.5589582575232,1.85007452888491e-05
"1066",-1.58646305443219,4.43441615461325,NA,NA,-1.98004807886476,NA,0.103311745350918,NA,NA,NA,NA,-1.34775610976335,NA,NA,5,-92.6196138688057,195.592168914082,15.5706148063884,1.83932314824255e-05
"5612",-0.645274700637479,4.44741740665114,0.0516855264779541,NA,-2.42762239565943,NA,0.486879308099024,0.714254646917484,0.512250860368105,-4.4005933492204,NA,-0.523889647384408,NA,-0.268890471167027,10,-87.1300846559512,195.593502645236,15.5719485375421,1.83809697584181e-05
"1036",-1.55417312486177,4.41495286371091,-0.0339006011956341,NA,-1.94407469974285,NA,NA,NA,NA,NA,NA,-1.31661014985927,NA,NA,5,-92.621596577147,195.596134330765,15.5745802230708,1.8356799198175e-05
"7458",-1.18919525883574,4.39486537159466,NA,NA,NA,NA,-0.729043660264603,NA,NA,-3.63943694229979,NA,-0.787542238738384,0.966399205404722,-0.331105623931775,7,-90.465098863989,195.596864394645,15.575310286951,1.83500996030076e-05
