"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"5019",-1.10280588717202,NA,0.376235026514916,NA,-0.147231861594274,-0.645558852296835,NA,NA,1.95399941350742,-2.31422294267257,-0.267965300929963,NA,NA,-0.203492635383498,8,-78.0520013972049,172.966278243512,16.082390192496,3.1985366750096e-06
"4035",-1.53110593313546,NA,0.130620235661396,NA,NA,NA,NA,0.463473748513265,2.15951258059988,-2.91905083148699,-0.734704000246586,0.683138748133214,-0.4308113490882,NA,8,-78.0544768741113,172.971229197324,16.0873411463087,3.19062856354853e-06
"2887",-1.04551252671451,NA,0.210733563262157,1.23728915854586,NA,NA,NA,0.21202698587343,NA,-2.67015780658768,-0.220495881467665,NA,-0.269667877209686,NA,7,-79.1537638751931,172.974194417053,16.0903063660373,3.185901611146e-06
"2407",-1.14226846286121,NA,0.186373639759923,1.24938651194514,NA,NA,0.179684949677207,0.0904113905346969,NA,-2.65294252664265,NA,NA,-0.294555726710282,NA,7,-79.1543634430727,172.975393552812,16.0915055017965,3.18399201939457e-06
"4539",-1.25711442776521,NA,0.322104226367884,NA,-0.17330820594098,-0.642553589167397,0.229187459483627,NA,1.92868291167383,-2.3681053976789,NA,NA,NA,-0.224253306223548,8,-78.0572586890623,172.976792827226,16.0929047762109,3.18176515919832e-06
"4065",-1.61364034073502,NA,NA,NA,NA,NA,0.197369975958823,0.467420093989698,2.1085887814873,-2.90872757632161,-0.752839712211594,0.768049658049841,-0.418618519694337,NA,8,-78.057996860018,172.978269169138,16.0943811181222,3.17941733922294e-06
"7625",-1.42609596187301,NA,NA,NA,-0.511401057519317,NA,NA,0.400215084289155,2.23315689992258,-2.75688563385729,NA,0.628331874027006,-0.588941426716308,-0.209045288342107,8,-78.0580044984828,172.978284446067,16.0943963950519,3.17939305344815e-06
"6439",-1.10540718501218,NA,0.199214381327523,1.25348435945962,NA,NA,0.187977048693277,NA,NA,-2.60802046439163,NA,NA,-0.283568539771087,-0.0307523035382834,7,-79.1561857377488,172.979038142164,16.0951500911486,3.17819513111242e-06
"955",-1.24682318159273,NA,0.34570569750337,NA,-0.182193875668575,-0.626537290316565,0.238759937995311,NA,1.93127106117064,-2.34444054069353,-0.308652209664354,NA,NA,NA,8,-78.0590462257398,172.980367900581,16.0964798495659,3.17608271757647e-06
"7563",-1.2508105434652,NA,0.167624735079444,NA,-0.489915266543832,NA,NA,NA,2.20307150949934,-2.65410320071607,NA,0.630134277883502,-0.585723617293735,-0.199428268985473,8,-78.0604603178084,172.983196084719,16.099308033703,3.17159461823719e-06
"3863",-0.421811670590129,NA,0.112839718103883,1.06683281097016,NA,-1.01579654387633,NA,NA,NA,-2.89355852364622,-0.593467489818973,0.974794254125138,-0.422769376585004,NA,8,-78.0611377983293,172.98455104576,16.1006629947448,3.16944665234794e-06
"3893",-0.502424464310241,NA,NA,1.02670565101738,NA,-0.999022271785553,0.185231877068828,NA,NA,-2.87822165537812,-0.61777266655394,1.04472875647266,-0.414843566732623,NA,8,-78.0614668416704,172.985209132443,16.1013210814271,3.16840393859021e-06
"8129",-1.52174973764121,NA,NA,NA,NA,NA,NA,0.512623075977952,2.12962076883794,-2.89444376557625,-0.730983438224593,0.768587512908537,-0.40704180831172,-0.136555444418954,8,-78.0636370925499,172.989549634202,16.105661583186,3.16153516333481e-06
"3531",-1.44777206901525,NA,0.146592098231367,NA,-0.4881521066627,NA,NA,0.335011129713434,2.25051747193124,-2.77842401154198,NA,0.519699209996056,-0.628269433579896,NA,8,-78.0643404031015,172.990956255305,16.1070682042892,3.15931240403184e-06
