"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"3539",-2.08218946015944,NA,-2.51993322527654,NA,NA,-1.47905978774857,NA,-0.649022102838516,1.51475488954271,1.27452645822312,NA,4.26486284671918,0.63804155749105,NA,8,-90.2827902790351,197.427856007172,14.4041997594157,2.02514405182086e-05
"1960",-3.94164532938693,0.258026880401659,-1.4929829796675,2.01853280859042,NA,NA,-1.4038901620725,NA,2.36400367961442,2.13913336346997,-2.09228720027434,4.46659675841727,NA,NA,9,-89.1729541447884,197.430245638974,14.4065893912183,2.02272582246248e-05
"3877",-3.89534166919303,NA,NA,2.04157757418198,NA,NA,-1.4967598392967,NA,NA,1.98714856542001,-2.48383113918092,5.16432388262822,0.812583960229137,NA,7,-91.3825172599827,197.431701186632,14.408044938876,2.02125427108921e-05
"3459",-3.66485724343595,NA,-2.64441436028887,NA,NA,NA,NA,NA,2.20978319133807,0.937497765434532,NA,4.78455176715331,0.796744014369593,NA,6,-92.4679544886211,197.43295039736,14.4092941496043,2.01999217902494e-05
"4508",1.23696491272742,0.290581230858659,-3.88670070615113,NA,-2.73211280704069,-1.18791436913736,NA,NA,3.02506185451051,0.620548165834756,NA,NA,NA,-0.289295121082351,8,-90.2870478381698,197.436371125441,14.4127148776853,2.01654020994324e-05
"496",-0.217611305089245,0.386862018260625,-3.94084832107987,2.29804450251314,-3.31261253670635,NA,0.35376198143235,-1.12710767499771,3.37171009999869,1.04434065478424,NA,NA,NA,NA,9,-89.1766812554251,197.437699860248,14.4140436124916,2.01520093129642e-05
"7562",-3.56198885912,-0.397510815897017,NA,NA,-2.48414717731431,NA,NA,NA,2.55665896049684,0.548229085123858,NA,5.30691516817062,0.42560713865116,-0.552166308257493,8,-90.2877785851351,197.437832619372,14.4141763716159,2.01506716758058e-05
"3075",-2.43716446223399,NA,-2.34727752481464,NA,NA,NA,NA,NA,NA,NA,NA,4.94060979500361,1.01494586656344,NA,4,-94.6028529592815,197.439624047218,14.4159677994619,2.01326305196915e-05
"4351",0.373763237340025,NA,-3.5267033000084,1.92026628594609,-2.92206644450848,-0.992359647607246,0.193038628770923,-0.26737457732739,2.91695909110882,NA,NA,NA,NA,-0.123449221440303,9,-89.1799602887884,197.444257926974,14.4206016792182,2.00860384215767e-05
"5710",-2.22299104294265,0.0475453990141575,NA,2.07383150651126,-2.36033858367648,NA,NA,-0.668828461290534,NA,NA,-0.916701481627168,4.88746611983982,NA,-0.107547877210163,8,-90.2912224558099,197.444720360722,14.4210641129655,2.00813947274395e-05
