"surfacearea_ha","shoreline_development","depth_max_m","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","boatlaunch","dist_waterfowl","nearest_LM","nearest_SP","nearest_W","nearest_LMSPW"
62.32,1.764,7,0.0285,7.4,136,61.5,2.6,2,11,45,0,8.3202,1.5265,1.5265,1.5265,1.5265
5.26,2.051,2,0.027,5.7,66.5,11.5,0.6,3,14,53,0,12.6248,3.8364,4.7384,6.3984,3.8364
178.06,2.82,3,0.0697,6.55,55,9.375,1.5,5,30,66,1,11.2479,21.5151,17.5658,24.4701,17.5658
0.57,1.15,2,0.028,7.15,132,93.05,2,0,7,47,0,14.0261,4.3678,6.3608,9.1588,4.3678
0.16,1.079,1.5,0.178,5.85,152.5,37.88,0.7,1,15,64,0,3.3158,5.2201,5.2201,7.8435,5.2201
14.45,1.859,2.5,0.013,7.25,199,48,2.4,2,36,99,0,43.0381,5.811,11.2527,13.2893,5.811
99.15,1.424,13,0.0108,6.975,54.5,19.7125,8.4,0,6,45,1,6.773,10.8704,10.8704,11.1993,10.8704
21.12,1.487,5,0.0502,7.075,236,69.2,2.5,2,14,53,0,26.1209,0.3092,5.1699,7.8025,0.3092
16.96,1.206,9,0.2151,6.7,134.25,54.575,3.95,1,12,40,1,9.5282,26.5329,19.1812,25.2551,19.1812
3.2,1.36,2,0.074,6,97.5,13.5,1.5,0,12,49,0,5.0617,13.8147,13.8147,14.5368,13.8147
101.17,2.211,2.3,0.0135,6.9,56,12,2.3,2,14,41,0,0.5321,15.3452,17.4231,15.3452,15.3452
99.55,2.388,5.182,0.0035,6.85,34,4.15,3,3,20,61,1,2.4016,20.3438,20.3438,20.6721,20.3438
45.69,1.965,5,0.0305,6.35,228,22.5,1.1,1,17,45,0,7.3106,2.6876,6.1706,20.3694,2.6876
17.97,1.751,8,0.0377,6.2,38.2,9,2.5,2,23,62,0,20.5861,3.7983,6.463,11.2654,3.7983
24.28,2.003,2,0.0361,7.95,413.5,69.4,2,1,16,57,0,1.3209,4.9697,9.2194,6.3171,4.9697
40.8,1.421,8,0.0358,6.25,56,15.8,2.2,0,5,27,1,7.5656,7.5454,7.5454,7.5454,7.5454
1.7,1.461,1,0.0725,6.75,181,73.9,0.3,2,13,42,0,18.4066,0.929,3.2148,12.1407,0.929
