"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"296",-6.83668435150522,1.05172671358695,1.14928366044514,0.212485635162823,NA,NA,-0.869267777503547,NA,NA,0.364210109404163,NA,NA,6,-57.2542914008661,127.011576813708,2.10431816703068,0.00468502649254901
"99",-6.7794656150901,NA,1.13184547955285,NA,NA,NA,-0.846599175715447,-0.854178172356458,NA,NA,NA,NA,4,-59.430125986588,127.096938363708,2.18967971703088,0.00448927309946876
"803",-2.59068246297759,NA,1.08753090085961,NA,NA,NA,-0.656433000990106,NA,NA,0.328611274771242,-0.86063867528987,NA,5,-58.3769670933153,127.111077043774,2.20381839709597,0.00445764881454472
"1124",-7.320197756697,1.15211392715167,1.28086838583604,NA,NA,NA,-1.04055737020013,-1.04031237171047,NA,NA,NA,-0.477770362902375,6,-57.3044564777649,127.111906967506,2.20464832082833,0.00445579944400954
"1315",-5.53041168248583,NA,1.07251032073228,NA,NA,NA,-0.643334804684276,NA,NA,0.347728337315985,NA,-0.530747712914633,5,-58.3797733383,127.116689533743,2.20943088706521,0.00444515709552534
"299",-7.03118955771905,NA,1.1677925825166,NA,0.452047172417331,NA,-0.897354301370294,NA,NA,0.439058983517825,NA,NA,5,-58.3805726422118,127.118288141567,2.21102949488895,0.00444160548366773
"771",-2.48244351433166,NA,1.12303386151529,NA,NA,NA,NA,NA,NA,0.474972774014624,-0.877738153873369,NA,4,-59.4507831350577,127.138252660648,2.23099401397036,0.0043974887834634
"300",-6.88222708740572,0.942023346626339,1.17881445115518,NA,0.242529030972576,NA,-0.9748764780085,NA,NA,0.409377873844019,NA,NA,6,-57.3439674170774,127.190928846131,2.2836701994532,0.00428317927124184
"1064",-8.60067805821194,1.04683889125294,1.348262573061,0.279591723571338,NA,NA,-1.11749042111535,NA,NA,NA,NA,-0.598183053353509,6,-57.367508953461,127.238011918898,2.33075327222045,0.00418352426891224
"39",-7.91636159239105,NA,1.19811727198441,0.207022340015388,NA,NA,-0.909750067932489,NA,NA,NA,NA,NA,4,-59.5066336915954,127.249953773723,2.34269512704572,0.00415861917641626
"43",-8.32167536812172,NA,1.25388576967113,NA,0.278059250733985,NA,-1.08567828828388,NA,NA,NA,NA,NA,4,-59.5185306789436,127.27374774842,2.36648910174218,0.00410943727500995
"772",-2.75138242388948,0.830337711994653,1.23836758896764,NA,NA,NA,NA,NA,NA,0.512864363520166,-0.974540734430738,NA,5,-58.4775512679092,127.312245392961,2.40498674628374,0.00403109189443429
"1284",-5.91189924124929,0.782230980281502,1.19217941371736,NA,NA,NA,NA,NA,NA,0.538235111521686,NA,-0.590566392020994,5,-58.484190250331,127.325523357805,2.41826471112722,0.00400441818731571
"564",-3.10267686815418,1.11716888659749,1.41852089147693,NA,NA,-0.746245294221027,-1.08827713619119,NA,NA,NA,-1.0710155400488,NA,6,-57.4332984373179,127.369590886612,2.46233223993436,0.00391715072631223
"308",-4.97592757182942,1.05430170590864,1.17501377079146,NA,NA,-0.813923370297553,-0.86336967944211,NA,NA,0.362972296281979,NA,NA,6,-57.4393258970175,127.381645806011,2.47438715933347,0.0038936112709976
"1828",-3.14379365899945,1.11435017755116,1.24818253449268,NA,NA,NA,-0.854704604676529,NA,NA,0.341375961801809,-0.887215201457697,-0.456820955823457,7,-56.3617977573996,127.39829430998,2.49103566330244,0.00386133439644708
"556",-4.46529759099044,1.08409510616584,1.38318943956399,NA,0.0843228666412607,NA,-1.14805524225244,NA,NA,NA,-1.07960125808826,NA,6,-57.4548851719403,127.412764355857,2.50550570917899,0.00383349837207809
"676",-4.16489438606844,1.16638857394913,1.34740655037162,NA,NA,NA,-1.0748746896158,NA,-0.0253405271900266,NA,-1.0615506201627,NA,6,-57.4599628301414,127.422919672259,2.51566102558125,0.00381408251289434
"420",-6.18325951455633,1.08298926463617,1.11027927043076,NA,NA,NA,-0.860030433514281,NA,-0.0142945417231369,0.358589258005009,NA,NA,6,-57.48338666138,127.469767334736,2.56250868805841,0.00372578031309888
"104",-8.069235515367,1.17497867965217,1.27975485030386,0.23041659020073,NA,NA,-1.0621015421642,-1.18255548962438,NA,NA,NA,NA,6,-57.4863107937824,127.475615599541,2.56835695286328,0.00371490155138243
"808",-3.48979398620136,1.12851630800586,1.27639200986402,0.267939438174144,NA,NA,-0.863530715640404,NA,NA,0.333448167589797,-1.06279919660567,NA,7,-56.4178709479296,127.51044069104,2.60318204436237,0.00365077557662263
"163",-7.42298012740854,NA,1.1750858125994,NA,NA,NA,-0.993889532381481,NA,0.0538783510552836,NA,NA,NA,4,-59.6794496285989,127.59558564773,2.68832700105276,0.00349861492138237
"51",-5.77224114394972,NA,1.22302858554577,NA,NA,-0.965629764027697,-0.900910359621949,NA,NA,NA,NA,NA,4,-59.6799266257377,127.596539642008,2.68928099533029,0.00349694649002534
"1571",-4.04376709555411,NA,1.25759657146997,NA,NA,NA,-0.866389207362729,NA,NA,NA,-0.863260997986807,-0.470165834731487,5,-58.6219335497713,127.601009956686,2.69375131000795,0.0034891389931571
"263",-6.15413258593252,NA,1.083498796417,0.231707649069559,NA,NA,NA,NA,NA,0.51265401226398,NA,NA,4,-59.7321290039397,127.700944398412,2.79368575173433,0.00331908047127357
"108",-8.1610119947431,1.06200419042396,1.31195335701713,NA,0.2559237118688,NA,-1.18670642806686,-1.36216274416221,NA,NA,NA,NA,6,-57.6097117653174,127.722417542611,2.81515889593327,0.00328363554349033
"295",-6.22870259399573,NA,1.05761085924613,0.21396998867564,NA,NA,-0.656126080330528,NA,NA,0.358611785391945,NA,NA,5,-58.6887458412432,127.734634539629,2.82737589295168,0.00326363859850252
"1323",-7.23067887241302,NA,1.26200107667838,NA,0.533029026081714,NA,-0.915574153937278,NA,NA,0.45375886783172,NA,-0.626981233415457,6,-57.6191227219694,127.741239455915,2.83398080923737,0.00325287834605872
"868",-2.90252453997661,1.17195533920893,1.21182679680146,NA,NA,NA,-0.860423232619683,-0.74423626852212,NA,0.295818593728833,-0.931451716586735,NA,7,-56.5407920103808,127.756282815942,2.84902416926478,0.00322850302262844
"1320",-6.89594315916663,1.05420386840851,1.20846657158904,0.275165333722879,NA,NA,-0.8452796044006,NA,NA,0.36051416732496,NA,-0.5958076170049,7,-56.5532448839175,127.781188563016,2.87392991633821,0.00318854817543309
