"","(Intercept)","log(COND_avg)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","nonFP_species_richness","df","logLik","AICc","delta","weight"
"103",-2.53839318199,NA,1.79928056177188,-0.372461137039699,NA,NA,0.32642867481124,-0.00814365459994705,5,-180.766238363903,371.889619584948,15.7710595891788,6.77839697059197e-05
"90",-4.29414555050089,0.844304646362175,NA,NA,-0.146712151365111,-0.0522005286791734,NA,-0.00796850911648755,5,-180.785731862911,371.928606582966,15.8100465871966,6.64754185171006e-05
"84",-4.36505782923835,0.840765457671157,0.0226125797688104,NA,NA,-0.0610021839787845,NA,-0.0083817926736895,5,-180.835132384548,372.027407626238,15.9088476304689,6.32712925036069e-05
"37",0.847326675432705,NA,NA,-0.430794605107135,NA,NA,0.34798498495958,NA,3,-182.978761415221,372.098699301031,15.9801393052616,6.10556579718442e-05
"28",-4.67482120097751,0.866679841547429,0.114882958202865,NA,-0.167056063458874,-0.0676483884129023,NA,NA,5,-180.904222104486,372.165587066116,16.0470270703467,5.90474874020237e-05
"55",-2.79837150501723,NA,1.91479092128341,-0.398832499252077,NA,-0.0132422262850528,0.332061731664699,NA,5,-180.910963479095,372.179069815333,16.0605098195642,5.86507648996997e-05
"47",-2.72065985812603,NA,1.87962000173938,-0.413740598793532,-0.0541401611843221,NA,0.333857181857443,NA,5,-180.931851342918,372.220845542978,16.1022855472091,5.74383818357594e-05
"76",-4.01379217955005,0.851825801362617,-0.147021533929821,NA,-0.298751000373554,NA,NA,-0.0137766084361509,5,-181.102055946492,372.561254750126,16.442694754357,4.84488280595177e-05
"101",0.907777933871802,NA,NA,-0.366602326823563,NA,NA,0.331325576131998,-0.0117580226150429,4,-182.609484507554,373.455655405641,17.3370954098724,3.09789462840196e-05
"99",-2.35582485401724,NA,1.81622034538012,NA,NA,NA,0.399272178716571,-0.0194593041783499,4,-182.755913317723,373.748513025978,17.6299530302093,2.67592179825383e-05
"111",-2.53845520052104,NA,1.79592334316115,-0.372636675884015,0.0260332547047137,NA,0.327207184910503,-0.00840362786871769,6,-180.764537063827,374.032068139629,17.9135081438601,2.32220313364801e-05
"119",-2.52617794758438,NA,1.79305416749051,-0.373695752492229,NA,0.00165002981784463,0.326725718422617,-0.00832909796185057,6,-180.765874550778,374.034743113533,17.9161831177638,2.31909929339288e-05
"35",-2.86610007301468,NA,2.05176242757467,NA,NA,NA,0.450527522692321,NA,3,-183.948889905781,374.03895628215,17.9203962863806,2.31421905733085e-05
"92",-4.33098935812759,0.842775710129257,0.0234564948259911,NA,-0.146737674445636,-0.0524919225952781,NA,-0.00790684682330494,6,-180.785489125111,374.073972262198,17.9554122664286,2.27405436068337e-05
"45",0.861895154593903,NA,NA,-0.428061073993788,-0.0489673332114147,NA,0.345807480639413,NA,4,-182.971963731225,374.180613852982,18.0620538572127,2.15597596486818e-05
"53",0.846266143392429,NA,NA,-0.435595855841114,NA,0.00365730536001857,0.349252226432637,NA,4,-182.976492285109,374.18967096075,18.071110964981,2.14623458536719e-05
"63",-2.79297797006419,NA,1.91343877328023,-0.399045540365948,-0.0101835865283223,-0.0126463744261031,0.331810099783056,NA,6,-180.910733448813,374.324460909601,18.2059009138322,2.00635566947908e-05
"51",-3.14401991301145,NA,2.19303943248835,NA,NA,-0.0633160802530886,0.408998158600768,NA,4,-183.150660815889,374.53800802231,18.4194480265405,1.80317034841756e-05
"97",1.11558239120687,NA,NA,NA,NA,NA,0.401787250650221,-0.0228973606079212,3,-184.574642461693,375.290461393974,19.1719013982048,1.23778034902279e-05
"117",0.914094071706588,NA,NA,-0.386506060329244,NA,0.0267634182955393,0.336820164435595,-0.0144739673703477,5,-182.505913013955,375.368968885053,19.2504088892836,1.19013409890351e-05
"109",0.889561826431453,NA,NA,-0.366910804961533,0.0722683368640628,NA,0.333305620713719,-0.0124906575898301,5,-182.596122594154,375.54938804545,19.4308280496811,1.08747273100682e-05
"115",-2.58511146518648,NA,1.92746923233545,NA,NA,-0.0291769661131228,0.390574735259375,-0.0154263375089307,5,-182.636727500125,375.630597857392,19.5120378616234,1.04420048113054e-05
