"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"51",-0.359909240897587,NA,-0.0652043222720478,NA,NA,0.381026670351941,-0.0105149891611644,NA,4,-101.704621930733,211.645930251998,19.9815548944449,7.86208987455434e-06
"23",-2.95252468939127,NA,-0.0692646690898344,0.441010890113778,NA,0.0831635800172673,NA,NA,4,-101.757309575453,211.751305541438,20.0869301838856,7.45857825585041e-06
"99",0.0476131343259007,NA,-0.0560658583934656,NA,NA,NA,-0.00873000630954156,1.07125061616347,4,-101.763812811398,211.764312013329,20.0999366557762,7.41023073968157e-06
"53",-4.93236589699966,NA,NA,0.646593955585972,NA,0.214839381025234,-0.0189983998859694,NA,4,-101.8793736889,211.995433768333,20.3310584107799,6.60152511441524e-06
"67",0.00856161400006793,NA,-0.0697135385628791,NA,NA,NA,NA,1.19047566186136,3,-102.936296437547,212.013769345683,20.3493939881301,6.54128030502952e-06
"19",-0.0384730941866104,NA,-0.0774980459435349,NA,NA,0.131438545394058,NA,NA,3,-103.230566840224,212.602310151036,20.9379347934834,4.87374438355849e-06
"117",-5.05295386996605,NA,NA,0.633138288634215,NA,0.261673023091109,-0.0181072458292258,1.71099664542099,5,-101.174534362614,212.706211582371,21.041836224818,4.62701426661657e-06
"87",-3.14292558005286,NA,-0.0643226849292655,0.443778972593995,NA,0.10301886503577,NA,1.23827411511649,5,-101.384923535636,213.126989928415,21.4626145708627,3.74912552793598e-06
"115",-0.514172249658899,NA,-0.0607826208161001,NA,NA,0.397195871854683,-0.0103812037508983,1.13013894899419,5,-101.394694885063,213.146532627269,21.4821572697165,3.7126699126973e-06
"83",-0.207309139492155,NA,-0.0726076057190552,NA,NA,0.151414716775462,NA,1.22100518434197,4,-102.873735831113,213.984158052759,22.3197826952062,2.44229594529849e-06
"33",-0.392309774059497,NA,NA,NA,NA,NA,-0.0161825083930907,NA,2,-105.114261812982,214.29869906456,22.6343237070074,2.08687566873956e-06
"97",-0.538449283411749,NA,NA,NA,NA,NA,-0.0149736111011065,1.86234227487392,3,-104.305304269644,214.751785009877,23.0874096523239,1.66383483474633e-06
"49",-0.589746541871392,NA,NA,NA,NA,0.131075121130734,-0.0169800125988325,NA,3,-105.072672857517,216.286522185621,24.6221468280685,7.72407121609634e-07
"69",-4.69518445612458,NA,NA,0.577279637869893,NA,NA,NA,2.42323671094196,3,-105.184275979659,216.509728429905,24.8453530723527,6.90840276335865e-07
"113",-0.824681904372937,NA,NA,NA,NA,0.18674826017087,-0.0160627594336796,1.92631468177265,4,-104.221617952546,216.679922295625,25.0155469380724,6.34483775066046e-07
"5",-4.63397590344727,NA,NA,0.591998020598301,NA,NA,NA,NA,2,-106.480820120167,217.031815678931,25.3674403213777,5.32117869474121e-07
"85",-4.21907058746544,NA,NA,0.577253844343253,NA,-0.282637893231385,NA,2.22803795198877,4,-104.930362865404,218.097412121341,26.4330367637885,3.12332024405557e-07
"21",-4.01314198266051,NA,NA,0.590225609627373,NA,-0.371427179006286,NA,NA,3,-106.030149513803,218.201475498195,26.5371001406418,2.9649641115403e-07
"65",-0.914590511980049,NA,NA,NA,NA,NA,NA,2.64994313505356,2,-107.841192877091,219.752561192778,28.0881858352249,1.3652288647299e-07
"1",-0.74533293373011,NA,NA,NA,NA,NA,NA,NA,1,-109.315141695211,220.653539204376,28.9891638468232,8.70082777987251e-08
"81",-0.4297295135874,NA,NA,NA,NA,-0.287532279458543,NA,2.43464655391396,3,-107.579836722148,221.300849914883,29.6364745573306,6.29504498105869e-08
"17",-0.115080233475496,NA,NA,NA,NA,-0.384282259342509,NA,NA,2,-108.833906810122,221.73798905884,30.0736137012867,5.05912346996615e-08
