"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"121",0.534922767133772,NA,NA,NA,-0.868790895237012,-0.670603585066451,0.00459496850556074,-0.204879079814296,5,-62.0737813431028,134.504705543348,9.39158656937389,0.00125215297512321
"59",0.510338757947754,NA,0.00268116965711107,NA,-0.870377887541566,-0.681858575002835,0.00455646562380981,NA,5,-62.0799314212555,134.517005699654,9.40388672567929,0.00124447576837601
"52",-1.91390408549914,0.00706510735930675,-0.0144027166400013,NA,NA,-0.662246505432465,0.00514993537441926,NA,5,-62.0833493366217,134.523841530386,9.41072255641168,0.00124022951632326
"54",-1.66416282191357,0.00754352522213427,NA,-0.0573809913966382,NA,-0.726324240769702,0.00471059820865859,NA,5,-62.157975700938,134.673094259019,9.55997528504432,0.00115104484641445
"114",-1.99675071123076,0.00742962055242755,NA,NA,NA,-0.737175700164914,0.00463983420068724,-0.133156767800922,5,-62.165284311892,134.687711480927,9.57459250695231,0.00114266297467154
"47",-2.22249281990143,NA,-0.00479444411033848,0.268728091088539,-0.879251554081676,NA,0.00263988920242141,NA,5,-62.2532812519676,134.863705361078,9.75058638710365,0.00104640924941272
"109",-2.28995487843316,NA,NA,0.278294775762767,-0.904443711379832,NA,0.00237525343664781,-0.0748584247807505,5,-62.2615325744511,134.880208006045,9.76708903207057,0.00103781051350414
"91",0.390996857608552,NA,0.00543732426048497,NA,-0.852162772936397,-0.571877178933756,NA,-0.206453444447486,5,-62.3006051626732,134.958353182489,9.84523420851474,0.000998042548558569
"84",-1.98670443275628,0.00680675277124137,-0.0105501335308436,NA,NA,-0.53098760725986,NA,-0.21998926499452,5,-62.3198053324616,134.996753522066,9.88363454809146,0.000979062752886018
"24",-1.69822816337505,0.0068776285889197,-0.0103309551219511,-0.0519335700756855,NA,-0.515377846222798,NA,NA,5,-62.321306898122,134.999756653387,9.8866376794123,0.000977593729070763
"79",-2.25061497797488,NA,-0.00124689078063713,0.274734490093785,-0.868157070836626,NA,NA,-0.114585177893733,5,-62.3310537275399,135.019250312223,9.90613133824817,0.000968111575288654
"86",-1.79599054918655,0.00717054398378879,NA,-0.0433209260725664,NA,-0.585849590164862,NA,-0.170445738602998,5,-62.3593634542657,135.075869765674,9.96275079169979,0.000941088908045839
"40",-2.15273459322425,0.00711238829222876,-0.024205705601903,-0.100990084296074,NA,NA,0.00299792524471043,NA,5,-62.5685664189908,135.494275695124,10.3811567211499,0.000763440089171542
"107",-0.402501430677835,NA,-0.0108562601066108,NA,-0.859546638219539,NA,0.00284439464469618,-0.123210575883411,5,-62.5714433681735,135.50002959349,10.3869106195154,0.000761246867237692
"100",-2.77565666763197,0.00687140770658339,-0.0235500751014726,NA,NA,NA,0.00276765678742693,-0.100568558269213,5,-62.6021550061051,135.561452869353,10.4483338953786,0.000738223087714459
"72",-2.19627649740188,0.00694511681044685,-0.0203945427896024,-0.0842679148872656,NA,NA,NA,-0.155431266177236,5,-62.6556720903695,135.668487037882,10.5553680639074,0.000699754095744601
"63",-1.40494088954406,NA,0.00908070717256165,0.29434024458224,-0.89574002548949,-0.722123956600137,0.00453358594570016,NA,6,-61.7040619504738,135.911117912924,10.7979989389491,0.000619810349914683
"125",-1.31130360871595,NA,NA,0.278156274561051,-0.868237063859367,-0.667905472413292,0.00472998735663285,-0.22434342981235,6,-61.7227524396594,135.948498891295,10.8353799173203,0.000608333380465559
"102",-2.68762859334321,0.00754693755475338,NA,-0.0680127349203054,NA,NA,0.00150782332779747,0.0402797657039981,5,-62.8180065192356,135.993155895614,10.8800369216395,0.00059490073081884
"95",-1.54684029800906,NA,0.0122451065417694,0.296897180972112,-0.878602349701615,-0.610433835417484,NA,-0.194890198177284,6,-61.9144755293308,136.331945070638,11.2188260966631,0.000502200762556741
"56",-1.45307781257646,0.00725461659360011,-0.0151740850202738,-0.0756131512448212,NA,-0.652492908572338,0.00523415549693738,NA,6,-62.063558118879,136.630110249734,11.5169912757596,0.000432644933072432
"123",0.548015961485793,NA,0.002178000650666,NA,-0.877346950055441,-0.685848265542423,0.00454584067389162,-0.194913305370717,6,-62.0720586393167,136.64711129061,11.533992316635,0.00042898281299157
"116",-1.8858959939578,0.00712054712066802,-0.0151350719219094,NA,NA,-0.670094946081399,0.00514819051877778,-0.220087399221075,6,-62.0723347485274,136.647663509031,11.5345445350563,0.000428864383236208
"118",-1.62753257424622,0.00760292333432388,NA,-0.0607663628471672,NA,-0.734049298389254,0.00469750727845706,-0.153126166104445,6,-62.1525638565443,136.808121725065,11.6950027510902,0.000395801030970383
"3",-1.28599216554792,NA,-0.0511366764490745,NA,NA,NA,NA,NA,2,-66.4309704714757,136.932116381548,11.8189974075733,0.000372007609496465
"111",-2.20131606989517,NA,-0.0051095282264374,0.26818732710374,-0.883165814502292,NA,0.00263184061196226,-0.10472016120195,6,-62.2510199590033,137.005033929983,11.8919149560081,0.000358688934614278
"88",-1.62586171254131,0.00695502874241356,-0.0112486981744404,-0.0586536956933566,NA,-0.522970104200728,NA,-0.244835869510869,6,-62.3078232580949,137.118640528166,12.0055215541914,0.000338882092243964
"104",-2.11395597658311,0.00715763923153965,-0.0248460093427952,-0.105201733979316,NA,NA,0.00298717560667622,-0.147058002255205,6,-62.5636466150472,137.630287242071,12.517168268096,0.000262389195211902
"1",-1.88178562088157,NA,NA,NA,NA,NA,NA,NA,1,-67.949999737904,137.923255289762,12.810136315787,0.000226635920532691
"127",-1.36380838052974,NA,0.00864242531120241,0.293761520678494,-0.902904929877939,-0.726457009168498,0.00452598143395447,-0.189329247150375,7,-61.6967348538979,138.068168502977,12.955049529002,0.000210795453581671
