Group,Species,Frequency,Label,FP?,group
Terrestrial plant,Ribes rubrum,1,,notFP,terrestrial
Terrestrial plant,Ribes spicatum,2,,notFP,terrestrial
Terrestrial plant,Rorippa palustris,1,,notFP,terrestrial
Terrestrial plant,Rosa subcollina,4,,notFP,terrestrial
Terrestrial plant,Rosa villosa,1,,notFP,terrestrial
Terrestrial plant,Rubus ideaus,36,,notFP,terrestrial
Terrestrial plant,Rubus saxatilis,2,,notFP,terrestrial
Terrestrial plant,Rubus spp.,1,,notFP,terrestrial
Terrestrial plant,Rumex acetosa,39,,notFP,terrestrial
Terrestrial plant,Rumex acetosella,5,,notFP,terrestrial
Terrestrial plant,Rumex aquaticus,2,,notFP,terrestrial
Terrestrial plant,Rumex longifolius,35,,notFP,terrestrial
Terrestrial plant,Sagina procumbens,2,,notFP,terrestrial
Terrestrial plant,Salix alba x fragilis,4,,notFP,terrestrial
Terrestrial plant,Salix aurita,9,,notFP,terrestrial
Terrestrial plant,Salix caprea,29,,notFP,terrestrial
Terrestrial plant,Salix cinerea,17,,notFP,terrestrial
Terrestrial plant,Salix lapponum,1,,notFP,terrestrial
Terrestrial plant,Salix myrsinifolia,21,,notFP,terrestrial
Terrestrial plant,Salix pentrandra,5,,notFP,terrestrial
Terrestrial plant,Sambucus racemosa,7,,notFP,terrestrial
Terrestrial plant,Scirpus sylvaticus,24,,notFP,terrestrial
Terrestrial plant,Scrophularia nodosa,1,,notFP,terrestrial
Terrestrial plant,Sedum spurium,1,,notFP,terrestrial
Terrestrial plant,Sedum telephium,3,,notFP,terrestrial
Terrestrial plant,Senecio jacobaea,1,,notFP,terrestrial
Terrestrial plant,Senecio viscosus,3,,notFP,terrestrial
Terrestrial plant,Senecio vulgaris,4,,notFP,terrestrial
Terrestrial plant,Silene latifolia,1,,notFP,terrestrial
Terrestrial plant,Solanum dulcamara,14,,notFP,terrestrial
Terrestrial plant,Solidago Canadensis,1,,notFP,terrestrial
Terrestrial plant,Solidago virgaurea,6,,notFP,terrestrial
Terrestrial plant,Sonchus arvensis,16,,notFP,terrestrial
Terrestrial plant,Sonchus asper,3,,notFP,terrestrial
Terrestrial plant,Sonchus oleraceus,2,,notFP,terrestrial
Terrestrial plant,Sorbus aucuparia,21,,notFP,terrestrial
Terrestrial plant,Sorbus intermedia,1,,notFP,terrestrial
Terrestrial plant,Spergula arvensis,3,,notFP,terrestrial
Terrestrial plant,Stachys palustris,8,,notFP,terrestrial
Terrestrial plant,Stachys sylvatica,2,,notFP,terrestrial
Terrestrial plant,Stellaria alsine,16,,notFP,terrestrial
Terrestrial plant,Stellaria graminea,45,,notFP,terrestrial
Terrestrial plant,Stellaria media,16,,notFP,terrestrial
Terrestrial plant,Stellaria nemorum,2,,notFP,terrestrial
Terrestrial plant,Tanacetum vulgare,6,,notFP,terrestrial
Terrestrial plant,Taraxacum spp.,39,,notFP,terrestrial
Terrestrial plant,Thlaspi arvense,1,,notFP,terrestrial
Terrestrial plant,Tragopogon pratensis,1,,notFP,terrestrial
Terrestrial plant,Trientalis europaea,5,,notFP,terrestrial
Terrestrial plant,Trifolium hybridum,21,,notFP,terrestrial
Terrestrial plant,Trifolium medium,5,,notFP,terrestrial
Terrestrial plant,Trifolium pratense,28,,notFP,terrestrial
Terrestrial plant,Trifolium repens,37,,notFP,terrestrial
Terrestrial plant,Tussilago farfara,20,,notFP,terrestrial
Terrestrial plant,Urtica dioica,51,,notFP,terrestrial
Terrestrial plant,Vaccinium myrtillus,11,,notFP,terrestrial
Terrestrial plant,Vaccinium uliginosum,1,,notFP,terrestrial
Terrestrial plant,Vaccinium vitis-idaea,6,,notFP,terrestrial
Terrestrial plant,Valeriana sambucifolia,3,,notFP,terrestrial
Terrestrial plant,Veronica beccabunga,3,,notFP,terrestrial
Terrestrial plant,Veronica chamaedrys,23,,notFP,terrestrial
Terrestrial plant,Veronica officinalis,5,,notFP,terrestrial
Terrestrial plant,Veronica scutellata,13,,notFP,terrestrial
Terrestrial plant,Veronica serpyllifolia,4,,notFP,terrestrial
Terrestrial plant,Viburnum opulus,2,,notFP,terrestrial
Terrestrial plant,Vicia cracca,53,,notFP,terrestrial
Terrestrial plant,Vicia sepium,8,,notFP,terrestrial
Terrestrial plant,Vicia sylvatica,2,,notFP,terrestrial
Terrestrial plant,Viola arvensis,1,,notFP,terrestrial
Terrestrial plant,Viola canina,1,,notFP,terrestrial
Terrestrial plant,Viola mirabilis,1,,notFP,terrestrial
Terrestrial plant,Viola palustris,12,,notFP,terrestrial
Terrestrial plant,Viola riviniana,7,,notFP,terrestrial
Terrestrial plant,Viola tricolor,2,,notFP,terrestrial
