"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"96",-2.44729689747387,0.00419858750069539,0.0247616239699132,0.215262546579528,-0.475108743920924,-0.364752157370493,NA,-0.21059225597763,7,-76.2163858077608,167.107470410702,7.37843663718584,0.00218988312537735
"124",-1.04328301179612,0.00491167076340185,0.0207051119612452,NA,-0.483164485410631,-0.416310573681516,0.00270406795232268,-0.307931650524641,7,-76.342617255821,167.359933306823,7.63089953330615,0.00193018668638653
"121",-0.241309530766683,NA,NA,NA,-0.475868307380983,-0.293004976051762,0.00108470466217708,0.172404521900547,5,-78.560391374619,167.477925606381,7.7488918328643,0.00181960706086919
"59",-0.194457964696431,NA,0.0029301900087452,NA,-0.492150381923993,-0.317266481035193,0.00096970782786641,NA,5,-78.5628715545172,167.482885966177,7.7538521926607,0.00181509969985779
"91",-0.268086418808609,NA,0.00418655618141252,NA,-0.480943927777007,-0.287472551114719,NA,0.190597523883134,5,-78.5664739249929,167.490090707129,7.76105693361217,0.00180857280149982
"126",-2.09510698822812,0.00397046513521152,NA,0.173260581540748,-0.416221251361479,-0.305560823408938,0.00294506323804887,-0.303696415214976,7,-76.4155275524514,167.505753900084,7.77672012656697,0.00179446410802722
"112",-2.84444683809579,0.00418957582930882,0.0160248417403764,0.196192552067102,-0.467559740055994,NA,0.000687824542767926,-0.13460461813351,7,-76.4452289547698,167.56515670472,7.83612293120387,0.00174194974325394
"67",-1.26527781441738,NA,-0.0253276533807747,NA,NA,NA,NA,0.687642262635319,3,-80.7528198377117,167.646816146012,7.91778237249503,0.00167225883339255
"101",-4.58586321874452,NA,NA,0.47014779929181,NA,NA,-0.004128328988573,0.835689142911951,4,-79.7332309944593,167.703148379451,7.97411460593463,0.00162581493839374
"19",-0.884185347362166,NA,-0.0244626937728062,NA,NA,-0.211291125476037,NA,NA,3,-80.7895433012617,167.720263073112,7.99122929959506,0.00161196163438532
"71",-4.16508629238578,NA,-0.0178956474600105,0.425355259630328,NA,NA,NA,0.742679958681261,4,-79.7418555455785,167.72039748169,7.99136370817305,0.00161185330728985
"85",-4.13388920557348,NA,NA,0.469052553301143,NA,-0.334669114358534,NA,0.835585618407982,4,-79.7484960509233,167.733678492379,8.00464471886264,0.00160118524664645
"23",-3.74691453758297,NA,-0.0160875733172849,0.4313953365595,NA,-0.262949580642241,NA,NA,4,-79.7507273168751,167.738141024283,8.00910725076616,0.00159761655934895
"35",-1.17520563851619,NA,-0.0246305476632078,NA,NA,NA,-0.00210293440279125,NA,3,-80.8097398560696,167.760656182727,8.03162240921094,0.00157973212098472
"39",-4.12004609152729,NA,-0.0153318890041929,0.432738640982202,NA,NA,-0.0030015289493621,NA,4,-79.7659339208889,167.76855423231,8.03952045879379,0.00157350602127742
"107",-0.681435856130441,NA,-0.00179877474994708,NA,-0.472641176523051,NA,-4.12764209000776e-05,0.237670423032241,5,-78.7090924745663,167.775327806275,8.04629403275891,0.00156818590570196
"95",-2.99055330766796,NA,0.0122111328851973,0.410493184116276,-0.486913590753246,-0.335602729435164,NA,0.229486320986535,6,-77.6453669233046,167.793727858585,8.06469408506871,0.00155382471730288
"63",-2.9079951928795,NA,0.0112381290043589,0.407768291861248,-0.496915457451974,-0.354972719654141,0.000515925482838226,NA,6,-77.6546053380578,167.812204688092,8.08317091457516,0.00153953594454189
"53",-4.13162403513584,NA,NA,0.470853923546665,NA,-0.258827086528216,-0.00326064212686133,NA,4,-79.7979941101788,167.83267461089,8.10364083737366,0.00152385921578394
"125",-2.83813850932057,NA,NA,0.3854486424311,-0.45187865642311,-0.285051427512252,0.000962563106428494,0.170869488897864,6,-77.7133731729137,167.929740357803,8.20070658428685,0.00145166794385787
"81",-1.02882728494652,NA,NA,NA,NA,-0.344049038219904,NA,0.8902558753643,3,-81.0106389847584,168.162454440105,8.4334206665886,0.00129221288091203
"111",-3.40505724653741,NA,0.00617211695066314,0.399846149456765,-0.472884213423878,NA,-0.000751896729481998,0.287420627463234,6,-77.8330056576107,168.169005327197,8.43997155368092,0.00128798723478157
"97",-1.49388121125019,NA,NA,NA,NA,NA,-0.00394052815476461,0.895352031415621,3,-81.0140434514583,168.169263373505,8.44022959998827,0.00128782106532673
"49",-0.998986337908978,NA,NA,NA,NA,-0.278212394585332,-0.00311456660292946,NA,3,-81.0893336100689,168.319843690726,8.59080991720955,0.00119442098309537
"88",-3.20294689284099,0.00447060971798438,0.00161075001877571,0.214092160041238,NA,-0.278614705938622,NA,0.187997788389147,6,-78.007731134023,168.518456280022,8.78942250650556,0.00108150678527212
"118",-3.17036925170453,0.00444896808778218,NA,0.211228698309426,NA,-0.275077892082014,0.00017597633247878,0.178016153608472,6,-78.0089058419187,168.520805695814,8.79177192229702,0.00108023707662658
"56",-3.14888249543285,0.00453736005084944,0.000983244274895732,0.209061536189948,NA,-0.286526294269499,0.000107405571936776,NA,6,-78.0162592009395,168.535512413855,8.80647864033858,0.00107232283935006
"104",-3.55631524580769,0.00436567167489448,-0.00173990065016568,0.210852016439772,NA,NA,-0.00108283309215211,0.243426251930202,6,-78.1395093269751,168.782012665926,9.05297889240975,0.000947978977491153
"116",-1.86870201362775,0.0050905488958909,-0.000990494362050894,NA,NA,-0.274062695078309,0.00063267836685687,0.096412157242017,6,-78.2131263136342,168.929246639245,9.20021286572802,0.000880698497435796
"128",-2.29856815176114,0.00434400702049065,0.0230821102025059,0.203090101638191,-0.488258645244194,-0.427164833549282,0.00233071230166139,-0.22953142200416,8,-76.1543876564622,169.181502585652,9.45246881213515,0.000776337514123148
"83",-0.98453015776702,NA,-0.0218376799219257,NA,NA,-0.197080179262276,NA,0.656341061039376,4,-80.6817441991278,169.600174788788,9.87114101527163,0.000629704879842069
"123",-0.229604512711054,NA,0.00338560693996553,NA,-0.48687625209684,-0.312941958813484,0.000971409059341198,0.190863791630285,6,-78.5541477611424,169.611289534261,9.88225576074441,0.000626215081148608
"87",-3.88415498314533,NA,-0.0134186723020109,0.435867272075958,NA,-0.246780327177548,NA,0.700623921697791,5,-79.6298664791934,169.61687581553,9.88784204201309,0.000624468414837511
"99",-1.25740505255073,NA,-0.0219057984856054,NA,NA,NA,-0.00197381840654588,0.665977993842408,4,-80.698725672089,169.634137734711,9.90510396119399,0.000619101845818194
"103",-4.24136588408837,NA,-0.0124917165554396,0.437835892939404,NA,NA,-0.00287650709243009,0.716140392395038,5,-79.6394874743646,169.636117805872,9.90708403235558,0.000618489216275259
"117",-4.22255491767477,NA,NA,0.468368049987394,NA,-0.230854628280821,-0.00295505636534393,0.781257631960744,5,-79.6435993612512,169.644341579645,9.91530780612865,0.000615951280006694
"55",-3.86565130594322,NA,-0.0130276857528302,0.437701928533874,NA,-0.205612934577837,-0.00219544189064353,NA,5,-79.6965222868014,169.750187430746,10.0211536572291,0.000584200907849584
"51",-0.934991489155361,NA,-0.0225341744613805,NA,NA,-0.172010066841702,-0.00150770483946634,NA,4,-80.7605850003704,169.757856391273,10.0288226177568,0.000581965090336863
"127",-2.96036591533824,NA,0.0117380097165561,0.409136764980354,-0.490078458379958,-0.349147092785837,0.000508551959576894,0.228571546423418,7,-77.6423051293773,169.959309053935,10.2302752804189,0.000526201454290498
"113",-1.11411947956699,NA,NA,NA,NA,-0.247672787811383,-0.00278673606956417,0.83551255786213,4,-80.9090908525005,170.054868095533,10.3258343220169,0.000501650976308009
"120",-3.19718245785623,0.004477164674736,0.00151096072389873,0.213513848223737,NA,-0.281056895253737,9.3156244207935e-05,0.187680588709527,7,-78.0076377058523,170.689974206885,10.9609404333688,0.000365165821496691
"119",-3.9984467737026,NA,-0.0104845720813356,0.442091582220704,NA,-0.191521366976714,-0.00212603451670054,0.690140696141979,6,-79.5794248388008,171.661843689578,11.9328099160611,0.000224621511474487
"115",-1.0309925180782,NA,-0.0200527220248923,NA,NA,-0.160271162787983,-0.00142124341630722,0.646503696509489,5,-80.6561542569878,171.669451371118,11.940417597602,0.000223768710000014
